"crop","region","item","year","value"
"corn","us","Fuel, lube, and electricity","2004.0","29.29"
"corn","us","Repairs","2004.0","15.35"
"corn","us","Purchased irrigation water","2004.0","0.24"
"corn","us","Interest on operating capital","2004.0","1.31"
"corn","us","Total, operating costs","2004.0","175.94"
"corn","us","Hired labor","2004.0","3.2"
"corn","us","Opportunity cost of unpaid labor","2004.0","26.98"
"corn","us","Capital recovery of machinery and equipment","2004.0","61.25"
"corn","us","Opportunity cost of land","2004.0","92.14"
"corn","us","Taxes and insurance","2004.0","5.58"
"corn","us","General farm overhead","2004.0","12.41"
"corn","us","Total, allocated overhead","2004.0","201.56"
"corn","us","Total, costs listed","2004.0","377.5"
"corn","us","Value of production less total costs listed","2004.0","-15.150000000000034"
"corn","us","Value of production less operating costs","2004.0","186.40999999999997"
"corn","us","Yield (bushels per planted acre)","2004.0","169.0"
"corn","us","Price (dollars per bushel at harvest)","2004.0","2.13"
"corn","us","Enterprise size (planted acres)","2004.0","236.0"
"corn","us","Irrigated (percent)","2004.0","14.0"
"corn","us","Dryland (percent)","2004.0","86.0"
"corn","us","Primary product:  Corn grain","2005.0","259.26"
"corn","us","Secondary product:  Corn silage","2005.0","1.17"
"corn","us","Total, gross value of production","2005.0","260.43"
"corn","us","Seed","2005.0","40.47"
"corn","us","Fertilizer","2005.0","69.35"
"corn","us","Chemicals","2005.0","22.84"
"corn","us","Custom operations","2005.0","9.97"
"corn","us","Fuel, lube, and electricity","2005.0","26.5"
"corn","us","Repairs","2005.0","14.0"
"corn","us","Purchased irrigation water","2005.0","0.12"
"corn","us","Interest on operating capital","2005.0","3.12"
"corn","us","Total, operating costs","2005.0","186.37"
"corn","us","Hired labor","2005.0","2.08"
"corn","us","Opportunity cost of unpaid labor","2005.0","22.02"
"corn","us","Capital recovery of machinery and equipment","2005.0","64.02"
"corn","us","Opportunity cost of land","2005.0","93.27"
"corn","us","Taxes and insurance","2005.0","6.51"
"corn","us","General farm overhead","2005.0","12.61"
"corn","us","Total, allocated overhead","2005.0","200.51"
"corn","us","Total, costs listed","2005.0","386.88"
"corn","us","Value of production less total costs listed","2005.0","-126.44999999999999"
"corn","us","Value of production less operating costs","2005.0","74.06"
"corn","us","Yield (bushels per planted acre)","2005.0","149.0"
"corn","us","Price (dollars per bushel at harvest)","2005.0","1.74"
"corn","us","Enterprise size (planted acres)","2005.0","250.0"
"corn","us","Irrigated (percent)","2005.0","12.0"
"corn","us","Dryland (percent)","2005.0","88.0"
"corn","us","Primary product:  Corn grain","2006.0","350.52"
"corn","us","Secondary product:  Corn silage","2006.0","1.35"
"corn","us","Total, gross value of production","2006.0","351.87"
"corn","us","Seed","2006.0","43.55"
"corn","us","Fertilizer","2006.0","80.17"
"corn","us","Chemicals","2006.0","23.62"
"corn","us","Custom operations","2006.0","10.58"
"corn","us","Fuel, lube, and electricity","2006.0","28.73"
"corn","us","Repairs","2006.0","14.45"
"corn","us","Purchased irrigation water","2006.0","0.12"
"corn","us","Interest on operating capital","2006.0","4.76"
"corn","us","Total, operating costs","2006.0","205.98"
"corn","us","Hired labor","2006.0","2.19"
"corn","us","Opportunity cost of unpaid labor","2006.0","23.56"
"corn","us","Capital recovery of machinery and equipment","2006.0","66.71"
"corn","us","Opportunity cost of land","2006.0","90.84"
"corn","us","Taxes and insurance","2006.0","7.01"
"corn","us","General farm overhead","2006.0","13.45"
"corn","us","Total, allocated overhead","2006.0","203.76"
"corn","us","Total, costs listed","2006.0","409.74"
"corn","us","Value of production less total costs listed","2006.0","-57.870000000000005"
"corn","us","Value of production less operating costs","2006.0","145.89000000000001"
"corn","us","Yield (bushels per planted acre)","2006.0","138.0"
"corn","us","Price (dollars per bushel at harvest)","2006.0","2.54"
"corn","us","Enterprise size (planted acres)","2006.0","250.0"
"corn","us","Irrigated (percent)","2006.0","12.0"
"corn","us","Dryland (percent)","2006.0","88.0"
"corn","us","Primary product:  Corn grain","2007.0","467.61"
"corn","us","Secondary product:  Corn silage","2007.0","1.33"
"corn","us","Total, gross value of production","2007.0","468.94"
"corn","us","Seed","2007.0","49.04"
"corn","us","Fertilizer","2007.0","93.13"
"corn","us","Chemicals","2007.0","24.38"
"corn","us","Custom operations","2007.0","10.93"
"corn","us","Fuel, lube, and electricity","2007.0","31.58"
"corn","us","Repairs","2007.0","14.86"
"corn","us","Purchased irrigation water","2007.0","0.13"
"corn","us","Interest on operating capital","2007.0","4.94"
"corn","us","Total, operating costs","2007.0","228.99"
"corn","us","Hired labor","2007.0","2.26"
"corn","us","Opportunity cost of unpaid labor","2007.0","24.34"
"corn","us","Capital recovery of machinery and equipment","2007.0","69.77"
"corn","us","Opportunity cost of land","2007.0","97.21"
"corn","us","Taxes and insurance","2007.0","7.52"
"corn","us","General farm overhead","2007.0","13.88"
"corn","us","Total, allocated overhead","2007.0","214.98"
"corn","us","Total, costs listed","2007.0","443.97"
"corn","us","Value of production less total costs listed","2007.0","24.96999999999997"
"corn","us","Value of production less operating costs","2007.0","239.95"
"corn","us","Yield (bushels per planted acre)","2007.0","143.0"
"corn","us","Price (dollars per bushel at harvest)","2007.0","3.27"
"corn","us","Enterprise size (planted acres)","2007.0","250.0"
"corn","us","Irrigated (percent)","2007.0","12.0"
"corn","us","Dryland (percent)","2007.0","88.0"
"corn","us","Primary product:  Corn grain","2008.0","627.84"
"corn","us","Secondary product:  Corn silage","2008.0","1.52"
"corn","us","Total, gross value of production","2008.0","629.36"
"corn","us","Seed","2008.0","60.02"
"corn","us","Fertilizer","2008.0","139.18"
"corn","us","Chemicals","2008.0","25.19"
"corn","us","Custom operations","2008.0","10.98"
"corn","us","Fuel, lube, and electricity","2008.0","42.64"
"corn","us","Repairs","2008.0","15.37"
"corn","us","Purchased irrigation water","2008.0","0.14"
"corn","us","Interest on operating capital","2008.0","2.17"
"corn","us","Total, operating costs","2008.0","295.69"
"corn","us","Hired labor","2008.0","2.37"
"corn","us","Opportunity cost of unpaid labor","2008.0","25.12"
"corn","us","Capital recovery of machinery and equipment","2008.0","76.36"
"corn","us","Opportunity cost of land","2008.0","107.37"
"corn","us","Taxes and insurance","2008.0","8.29"
"corn","us","General farm overhead","2008.0","14.18"
"corn","us","Total, allocated overhead","2008.0","233.69"
"corn","us","Total, costs listed","2008.0","529.38"
"corn","us","Value of production less total costs listed","2008.0","99.98000000000002"
"corn","us","Value of production less operating costs","2008.0","333.67"
"corn","us","Yield (bushels per planted acre)","2008.0","144.0"
"corn","us","Price (dollars per bushel at harvest)","2008.0","4.36"
"corn","us","Enterprise size (planted acres)","2008.0","250.0"
"corn","us","Irrigated (percent)","2008.0","12.0"
"corn","us","Dryland (percent)","2008.0","88.0"
"corn","us","Primary product:  Corn grain","2009.0","560.04"
"corn","us","Secondary product:  Corn silage","2009.0","1.18"
"corn","us","Total, gross value of production","2009.0","561.2199999999999"
"corn","us","Seed","2009.0","78.92"
"corn","us","Fertilizer","2009.0","131.11"
"corn","us","Chemicals","2009.0","27.83"
"corn","us","Custom operations","2009.0","11.76"
"corn","us","Fuel, lube, and electricity","2009.0","29.13"
"corn","us","Repairs","2009.0","15.69"
"corn","us","Purchased irrigation water","2009.0","0.14"
"corn","us","Interest on operating capital","2009.0","0.43"
"corn","us","Total, operating costs","2009.0","295.01"
"corn","us","Hired labor","2009.0","2.41"
"corn","us","Opportunity cost of unpaid labor","2009.0","25.67"
"corn","us","Capital recovery of machinery and equipment","2009.0","81.12"
"corn","us","Opportunity cost of land","2009.0","123.87"
"corn","us","Taxes and insurance","2009.0","8.13"
"corn","us","General farm overhead","2009.0","14.49"
"corn","us","Total, allocated overhead","2009.0","255.69"
"corn","us","Total, costs listed","2009.0","550.7"
"corn","us","Value of production less total costs listed","2009.0","10.519999999999868"
"corn","us","Value of production less operating costs","2009.0","266.2099999999999"
"corn","us","Yield (bushels per planted acre)","2009.0","156.0"
"corn","us","Price (dollars per bushel at harvest)","2009.0","3.59"
"corn","us","Enterprise size (planted acres)","2009.0","250.0"
"corn","us","Irrigated (percent)","2009.0","12.0"
"corn","us","Dryland (percent)","2009.0","88.0"
"corn","us","Primary product:  Corn grain","2010.0","688.47"
"corn","us","Secondary product:  Corn silage","2010.0","0.92"
"corn","us","Total, gross value of production","2010.0","689.39"
"corn","us","Seed","2010.0","81.58"
"corn","us","Fertilizer","2010.0","112.03"
"corn","us","Chemicals","2010.0","26.29"
"corn","us","Custom operations","2010.0","16.36"
"corn","us","Fuel, lube, and electricity","2010.0","25.8"
"corn","us","Repairs","2010.0","23.96"
"corn","us","Purchased irrigation water","2010.0","0.11"
"corn","us","Interest on operating capital","2010.0","0.28"
"corn","us","Total, operating costs","2010.0","286.40999999999997"
"corn","us","Hired labor","2010.0","2.96"
"corn","us","Opportunity cost of unpaid labor","2010.0","22.54"
"corn","us","Capital recovery of machinery and equipment","2010.0","84.4"
"corn","us","Opportunity cost of land","2010.0","127.33"
"corn","us","Taxes and insurance","2010.0","8.46"
"corn","us","General farm overhead","2010.0","18.1"
"corn","us","Total, allocated overhead","2010.0","263.79"
"corn","us","Total, costs listed","2010.0","550.2"
"corn","us","Value of production less total costs listed","2010.0","139.18999999999994"
"corn","us","Value of production less operating costs","2010.0","402.98"
"corn","us","Yield (bushels per planted acre)","2010.0","159.0"
"corn","us","Price (dollars per bushel at harvest)","2010.0","4.33"
"corn","us","Enterprise size (planted acres)","2010.0","280.0"
"corn","us","Irrigated (percent)","2010.0","11.0"
"corn","us","Dryland (percent)","2010.0","89.0"
"corn","us","Primary product:  Corn grain","2011.0","836.58"
"corn","us","Secondary product:  Corn silage","2011.0","1.19"
"corn","us","Total, gross value of production","2011.0","837.7700000000001"
"corn","us","Seed","2011.0","84.37"
"corn","us","Fertilizer","2011.0","147.36"
"corn","us","Chemicals","2011.0","26.35"
"corn","us","Custom operations","2011.0","16.77"
"corn","us","Fuel, lube, and electricity","2011.0","32.42"
"corn","us","Repairs","2011.0","24.79"
"corn","us","Purchased irrigation water","2011.0","0.1"
"corn","us","Interest on operating capital","2011.0","0.17"
"corn","us","Total, operating costs","2011.0","332.3300000000001"
"corn","us","Hired labor","2011.0","2.92"
"corn","us","Opportunity cost of unpaid labor","2011.0","22.77"
"corn","us","Capital recovery of machinery and equipment","2011.0","89.59"
"corn","us","Opportunity cost of land","2011.0","138.2"
"corn","us","Taxes and insurance","2011.0","8.92"
"corn","us","General farm overhead","2011.0","18.73"
"corn","us","Total, allocated overhead","2011.0","281.13"
"corn","us","Total, costs listed","2011.0","613.46"
"corn","us","Value of production less total costs listed","2011.0","224.31000000000006"
"corn","us","Value of production less operating costs","2011.0","505.44"
"corn","us","Yield (bushels per planted acre)","2011.0","146.0"
"corn","us","Price (dollars per bushel at harvest)","2011.0","5.73"
"corn","us","Enterprise size (planted acres)","2011.0","280.0"
"corn","us","Irrigated (percent)","2011.0","11.0"
"corn","us","Dryland (percent)","2011.0","89.0"
"corn","us","Primary product:  Corn grain","2012.0","801.22"
"corn","us","Secondary product:  Corn silage","2012.0","1.33"
"corn","us","Total, gross value of production","2012.0","802.5500000000001"
"corn","us","Seed","2012.0","92.04"
"corn","us","Fertilizer","2012.0","156.51"
"corn","us","Chemicals","2012.0","27.52"
"corn","us","Custom operations","2012.0","17.07"
"corn","us","Fuel, lube, and electricity","2012.0","30.63"
"corn","us","Repairs","2012.0","25.48"
"corn","us","Purchased irrigation water","2012.0","0.11"
"corn","us","Interest on operating capital","2012.0","0.23"
"corn","us","Total, operating costs","2012.0","349.59000000000003"
"corn","us","Hired labor","2012.0","3.02"
"corn","us","Opportunity cost of unpaid labor","2012.0","23.65"
"corn","us","Capital recovery of machinery and equipment","2012.0","94.05"
"corn","us","Opportunity cost of land","2012.0","154.94"
"corn","us","Taxes and insurance","2012.0","9.0"
"corn","us","General farm overhead","2012.0","19.32"
"corn","us","Total, allocated overhead","2012.0","303.97999999999996"
"corn","us","Total, costs listed","2012.0","653.5699999999999"
"corn","us","Value of production less total costs listed","2012.0","148.98000000000013"
"corn","us","Value of production less operating costs","2012.0","452.96000000000004"
"corn","us","Yield (bushels per planted acre)","2012.0","118.0"
"corn","us","Price (dollars per bushel at harvest)","2012.0","6.79"
"corn","us","Enterprise size (planted acres)","2012.0","280.0"
"corn","us","Irrigated (percent)","2012.0","11.0"
"corn","us","Dryland (percent)","2012.0","89.0"
"corn","us","Primary product:  Corn grain","2013.0","719.1600000000001"
"corn","us","Secondary product:  Corn silage","2013.0","1.35"
"corn","us","Total, gross value of production","2013.0","720.5100000000001"
"corn","us","Seed","2013.0","97.59"
"corn","us","Fertilizer","2013.0","153.33"
"corn","us","Chemicals","2013.0","28.57"
"corn","us","Custom operations","2013.0","17.77"
"corn","us","Fuel, lube, and electricity","2013.0","32.27"
"corn","us","Repairs","2013.0","25.79"
"corn","us","Purchased irrigation water","2013.0","0.12"
"corn","us","Interest on operating capital","2013.0","0.16"
"corn","us","Total, operating costs","2013.0","355.6"
"corn","us","Hired labor","2013.0","3.12"
"corn","us","Opportunity cost of unpaid labor","2013.0","24.4"
"corn","us","Capital recovery of machinery and equipment","2013.0","96.86"
"corn","us","Opportunity cost of land","2013.0","167.74"
"corn","us","Taxes and insurance","2013.0","9.19"
"corn","us","General farm overhead","2013.0","19.54"
"corn","us","Total, allocated overhead","2013.0","320.85"
"corn","us","Total, costs listed","2013.0","676.45"
"corn","us","Value of production less total costs listed","2013.0","44.06000000000006"
"corn","us","Value of production less operating costs","2013.0","364.9100000000001"
"corn","us","Yield (bushels per planted acre)","2013.0","156.0"
"corn","us","Price (dollars per bushel at harvest)","2013.0","4.61"
"corn","us","Enterprise size (planted acres)","2013.0","280.0"
"corn","us","Irrigated (percent)","2013.0","11.0"
"corn","us","Dryland (percent)","2013.0","89.0"
"corn","us","Primary product:  Corn grain","2014.0","601.8"
"corn","us","Secondary product:  Corn silage","2014.0","1.38"
"corn","us","Total, gross value of production","2014.0","603.18"
"corn","us","Seed","2014.0","101.04"
"corn","us","Fertilizer","2014.0","149.23"
"corn","us","Chemicals","2014.0","29.2"
"corn","us","Custom operations","2014.0","18.24"
"corn","us","Fuel, lube, and electricity","2014.0","32.8"
"corn","us","Repairs","2014.0","26.17"
"corn","us","Purchased irrigation water","2014.0","0.12"
"corn","us","Interest on operating capital","2014.0","0.12"
"corn","us","Total, operating costs","2014.0","356.92"
"corn","us","Hired labor","2014.0","3.16"
"corn","us","Opportunity cost of unpaid labor","2014.0","24.75"
"corn","us","Capital recovery of machinery and equipment","2014.0","100.15"
"corn","us","Opportunity cost of land","2014.0","175.6"
"corn","us","Taxes and insurance","2014.0","9.34"
"corn","us","General farm overhead","2014.0","19.88"
"corn","us","Total, allocated overhead","2014.0","332.87999999999994"
"corn","us","Total, costs listed","2014.0","689.8"
"corn","us","Value of production less total costs listed","2014.0","-86.62"
"corn","us","Value of production less operating costs","2014.0","246.25999999999993"
"corn","us","Yield (bushels per planted acre)","2014.0","170.0"
"corn","us","Price (dollars per bushel at harvest)","2014.0","3.54"
"corn","us","Enterprise size (planted acres)","2014.0","280.0"
"corn","us","Irrigated (percent)","2014.0","11.0"
"corn","us","Dryland (percent)","2014.0","89.0"
"corn","us","Primary product:  Corn grain","2015.0","611.22"
"corn","us","Secondary product:  Corn silage","2015.0","1.38"
"corn","us","Total, gross value of production","2015.0","612.6"
"corn","us","Seed","2015.0","101.62"
"corn","us","Fertilizer","2015.0","137.33"
"corn","us","Chemicals","2015.0","27.95"
"corn","us","Custom operations","2015.0","19.04"
"corn","us","Fuel, lube, and electricity","2015.0","21.28"
"corn","us","Repairs","2015.0","26.18"
"corn","us","Purchased irrigation water","2015.0","0.12"
"corn","us","Interest on operating capital","2015.0","0.28"
"corn","us","Total, operating costs","2015.0","333.8"
"corn","us","Hired labor","2015.0","3.28"
"corn","us","Opportunity cost of unpaid labor","2015.0","25.63"
"corn","us","Capital recovery of machinery and equipment","2015.0","102.63"
"corn","us","Opportunity cost of land","2015.0","179.15"
"corn","us","Taxes and insurance","2015.0","11.01"
"corn","us","General farm overhead","2015.0","19.83"
"corn","us","Total, allocated overhead","2015.0","341.53"
