"canal","county","stateid","name","fips"
7728,1939,33,"Oneida",36065
7728,1940,33,"Onondaga",36067
7748,391,10,"Orange",12095
7748,392,10,"Osceola",12097
7789,732,15,"Jasper",18073
7789,762,15,"Pulaski",18131
7797,1862,31,"Mercer",34021
7797,1863,31,"Middlesex",34023
7797,1869,31,"Somerset",34035
7800,1124,19,"Cameron",22023
7800,1138,19,"Jefferson Davis",22053
7802,1124,19,"Cameron",22023
7802,1138,19,"Jefferson Davis",22053
7807,2598,44,"Brazoria",48039
7807,2657,44,"Fort Bend",48157
7833,1306,44,"Orange",48361
7833,2701,44,"Jefferson",48245
7870,368,10,"Hendry",12051
7870,378,10,"Lee",12071
7878,220,5,"Glenn",6021
7878,261,5,"Tehama",6103
7940,367,10,"Hardee",12049
7940,383,10,"Manatee",12081
7954,126,3,"La Paz",4012
7954,222,5,"Imperial",6025
7954,242,5,"Riverside",6065
7958,1934,33,"Monroe",36055
7958,1965,33,"Wayne",36117
7968,351,10,"Charlotte",12015
7968,401,10,"Sarasota",12115
7973,367,10,"Hardee",12049
7973,396,10,"Polk",12105
7992,1984,34,"Carteret",37031
7992,1993,34,"Craven",37049
8027,382,10,"Madison",12079
8027,404,10,"Suwannee",12121
8056,1489,25,"Choctaw",28019
8056,1528,25,"Montgomery",28097
8068,768,15,"Scott",18143
8068,784,15,"Washington",18175
8073,1123,19,"Caldwell",22021
8073,1146,19,"Morehouse",22067
8073,1149,19,"Ouachita",22073
8073,1154,19,"Richland",22083
8075,279,6,"Conejos",8021
8075,321,6,"Rio Grande",8105
8084,1224,22,"Middlesex",25017
8084,1229,22,"Worcester",25027
8093,126,3,"La Paz",4012
8093,127,3,"Maricopa",4013
8102,364,10,"Glades",12043
8102,368,10,"Hendry",12051
8102,393,10,"Palm Beach",12099
8103,181,4,"Mississippi",5093
8103,1596,26,"Dunklin",29069
8103,1633,26,"New Madrid",29143
8103,1639,26,"Pemiscot",29155
8103,1661,26,"Scott",29201
8103,1664,26,"Stoddard",29207
8115,392,10,"Osceola",12097
8115,396,10,"Polk",12105
8131,349,10,"Broward",12011
8131,386,10,"Miami-Dade",12086
8134,349,10,"Broward",12011
8134,393,10,"Palm Beach",12099
8139,1847,30,"Hillsborough",33011
8139,1848,30,"Merrimack",33013
8155,269,6,"Alamosa",8003
8155,321,6,"Rio Grande",8105
8158,126,3,"La Paz",4012
8158,242,5,"Riverside",6065
8159,145,4,"Clay",5021
8159,1573,26,"Butler",29023
8163,234,5,"Modoc",6049
8163,256,5,"Siskiyou",6093
