site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	alt_va	huc_cd	drain_area_va	contrib_drain_area_va
06146000	"North Chinook Irrigation Canal nr Havre, MT"	ST-CA	48.81667277	-109.4674063		10050007		
06152000	Cook Canal near Chinook MT	ST-CA	48.59981389	-109.1720639	2393.31	10050008		
06153000	Paradise Valley Canal near Chinook MT	ST-CA	48.5681722	-109.0930444		10050004		
06153500	Harlem Canal near Zurich MT	ST-CA	48.5713361	-108.9982528		10050004		
06154000	Milk River A Canal near Harlem MT	ST-CA	48.48582778	-108.7658528		10050004		
06164500	Frenchman Canal near Saco MT	ST-CA	48.60000655	-107.2506306		10050013		
06170500	Rock Creek Canal near Hinsdale MT	ST-CA	48.45001096	-107.0339547		10050015		
06222100	"UPPER WIND RIV A CANAL AT HEADWORKS, NR BURRIS, WY"	ST-CA	43.4163454	-109.3284733	6150	10080001		
06222510	"DRY CREEK CANAL AT HEADGATE, NEAR BURRIS, WY"	ST-CA	43.34384577	-109.2909707	6360	10080001		
06226000	"WYOMING CANAL NEAR LENORE, WY"	ST-CA	43.22912385	-108.8951234	5560.85	10080001		
06227000	PILOT CANAL NR MORTON WYO	ST-CA	43.1999581	-108.7340073		10080005		
06227500	"WYOMING CANAL BELOW PILOT DIVERSION, NR MORTON, WY"	ST-CA	43.22055556	-108.7838889	5570	10080005		
06277000	BENCH CANAL NR BURLINGTON WYO	ST-CA	44.3999548	-108.5506744		10080009		
06286490	Big Horn Canal near St. Xavier MT	ST-CA	45.3163485	-107.9184433	3081.61	10080015		
06286500	"Big Horn Canal bl wasteway, nr St. Xavier MT"	ST-CA	45.31662649	-107.9006649	3170	10080015		
06647000	RUNNING DUTCHMAN CANAL NR CAREYHURST WYO	ST-CA	42.8666335	-105.6672177		10180007		
06648500	DOUGLAS CANAL NR ORPHA WYO	ST-CA	42.8469115	-105.4885993		10180007		
06659501	"PIONEER CANAL NEAR WOODS, WY"	ST-CA	41.1391415	-105.9797283	7390	10180010		
06665500	"WHEATLAND CANAL NO 1 NEAR WHEATLAND, WY"	ST-CA	41.88552719	-105.1877566	5190	10180011		
06665800	"WHEATLAND CANAL NO 3 NEAR WHEATLAND, WY"	ST-CA	41.93580427	-105.1066434	4980	10180011		
06666000	"WHEATLAND CANAL NO 2 NEAR WHEATLAND, WY"	ST-CA	42.0410812	-105.067198	4769	10180011		
06674000	MITCHELL CANAL AT WYO-NEBR STATE LINE	ST-CA	41.98329789	-104.0505045		10180009		
06765700	"SUPPLY CANAL (TRI-CO DVR) NR MAXWELL, NEBR."	ST-CA	41.06416667	-100.6322222		10200101		
06780500	BOELUS POWER CANAL NR BOELUS NEBR	ST-CA	41.0652903	-98.6739635		10210003		
06791700	SPALDING POW CAN AT SPALDING NEBR	ST-CA	41.6811225	-98.3675706		10210010		
06792100	FULLERTON POW C AT FULLERTON NEBR	ST-CA	41.3750141	-97.9614474		10210010		
06792500	"Loup River Power Canal near Genoa, Nebr."	ST-CA	41.40916667	-97.7936111	1566.26	10210009		
06852500	Courtland Canal at Nebraska-Kansas Stateline	ST-CA	40.0041807	-98.1322678	1612.46	10250016		
07122060	"FORT LYON CANAL NEAR CASA, CO"	ST-CA	38.0355637	-103.4721622	4060	11020005		
07122105	"FORT LYON CANAL NEAR CORNELIA, CO"	ST-CA	38.10695065	-103.2490973		11020009		
07122200	"FORT LYON CANAL NEAR HASTY, CO."	ST-CA	38.1441734	-102.958812		11020009		
07122350	"FORT LYON CANAL NEAR BIG BEND, CO"	ST-CA	38.25806304	-102.7788079	3900	11020009		
07122390	"FT LYON CANAL WASTE TO AMITY CANAL NR. KORNMAN, CO"	ST-CA	38.14334198	-102.5874153	3705	11020009		
07215100	"LA CUEVA CANAL BELOW LA CUEVA, NM"	ST-CA	35.94559356	-105.2558448		11080004		
07223000	"BELL RANCH CANAL BELOW CONCHAS DAM, NM"	ST-CA	35.40282609	-104.1858095	4150	11080006		
07223300	"CONCHAS CANAL BELOW CONCHAS DAM, NM"	ST-CA	35.37643795	-104.1680313	4157.1	11080006		
07240000	"Lake Hefner Canal near Oklahoma City, OK"	ST-CA	35.55311129	-97.6200419	1196.96	11050002		
07307026	"Ozark Canal at Altus, OK, Altus AFB IRP Ch005"	ST-CA	34.65701406	-99.2650849	1350	11120303		
07312110	"S Side Canal nr Dundee, TX"	ST-CA	33.81398475	-98.932844	1039.7	11130206		
08067070	"CWA Canal nr Dayton, TX"	ST-CA	29.96132898	-94.8102003	50	12030203		
08112500	"Brazos Rv Authority Canal A nr Fulshear, TX"	ST-CA	29.64134686	-95.885231	91	12070104		
08113500	"Richmond Irrigation Co S Canal nr Richmond, TX"	ST-CA	29.56690419	-95.7835616	90	12070104		
08127500	"S Concho Irrigation Co Canal at Christoval, TX"	ST-CA	31.18822294	-100.5000942	2017.02	12090102		
08131600	"Tom Green County WCID No. 1 Canal nr San Angelo,TX"	ST-CA	31.41627357	-100.3945353	1855.33	12090105		
08144000	"Noyes Canal at Menard, TX"	ST-CA	30.916007	-99.7842364	1878.06	12090109		
08188600	"GBRA Calhoun Canal Pump Sta nr Long Mott, TX"	ST-CA	28.496667	-96.7710941	0	12100403		
08188750	"GBRA Calhoun Canal-Flume No. 2 nr Long Mott, TX"	ST-CA	28.50277789	-96.7613716	22.37	12100402		
08258000	"CERRO CANAL AT COSTILLA, NM"	ST-CA	36.96557787	-105.5191756		13020101		
08258600	"CERRO CANAL BELOW ASSOCIATION DITCH AT COSTILLA,NM"	ST-CA	36.96141107	-105.535287		13020101		
08259000	"CERRO CANAL NEAR JAROSO, CO"	ST-CA	36.9947431	-105.577233		13020101		
08259500	"NEW MEXICO BRANCH CERRO CANAL NEAR JAROSO, CO"	ST-CA	36.9952986	-105.5802886		13020101		
08259600	"CERRO CANAL AT STATE LINE NEAR JAROSO, CO"	ST-CA	36.9947431	-105.577233		13020101		
08262000	"EASTDALE NO. 1 INTAKE CANAL NR. JAROSO, COLO."	ST-CA	37.04029687	-105.6047343		13020101		
08313500	"COCHITI EAST SIDE MAIN CANAL AT COCHITI, NM"	ST-CA	35.617	-106.3241667		13020201		
08314000	"SILI MAIN CANAL (AT HEAD) AT COCHITI, NM"	ST-CA	35.6195	-106.3246944		13020201		
08329931	"CORRALES MAIN CANAL OUTFALL AT ALBUQUERQUE, NM"	ST-CA	35.1614328	-106.6747489		13020203		
08354500	"SOCORRO MAIN CANAL NORTH AT SAN ACACIA, NM"	ST-CA	34.25478906	-106.8958612	4660.16	13020203		
08366400	"Riverside Canal nr Socorro, TX"	ST-CA	31.65844567	-106.326093	3656.79	13040100		
08368300	"Tornillo Canal nr Tornillo, TX"	ST-CA	31.40262174	-106.0208054	3570	13040100		
08368900	"Hudspeth Feeder Canal nr Tornillo, TX"	ST-CA	31.4084543	-106.0913626	3570.36	13040100		
08385000	"FORT SUMNER MAIN CANAL NEAR FORT SUMNER, NM"	ST-CA	34.50827778	-104.2783611	4034.7	13060003		
08385503	"SAND GATE DIV FROM FT SUMNER CANAL AT FT SUMNER,NM"	ST-CA	34.4758333	-104.2583333	4020	13060003		
08403500	"CARLSBAD MAIN CANAL AT HEAD NEAR CARLSBAD, NM"	ST-CA	32.49039444	-104.2527278	3156.5	13060011		
08414500	"Reeves County WID No. 2 Canal nr Mentone, TX"	ST-CA	31.63263024	-103.5754569	2639	13070001		
08415000	"Ward County WID No. 3 Canal nr Barstow, TX"	ST-CA	31.57457595	-103.5015643	2615	13070001		
08418000	"Ward County ID No. 1 Canal nr Barstow, TX"	ST-CA	31.54068767	-103.4954524	2602	13070001		
08435000	"Grandfalls-Big Valley Canal nr Barstow, TX"	ST-CA	31.42263545	-103.2562773	2526	13070001		
08436500	"Pecos Co WID No. 2 Up Div Canal nr Grandfalls, TX"	ST-CA	31.3120855	-102.9198778	2451	13070001		
08437500	"Pecos County WID No. 2 Canal nr Imperial, TX"	ST-CA	31.27736524	-102.7320952	2398	13070001		
08437600	"Pecos County WID No. 3 Canal nr Imperial, TX"	ST-CA	31.28097623	-102.7409843	2392	13070001		
08437700	"Ward County WID No. 2 Canal nr Grandfalls, TX"	ST-CA	31.3704165	-103.0071019	2459	13070001		
08478300	"WAMEL CANAL AT HEAD NR DEMING, NM"	ST-CA	32.30147544	-107.8964221		13030202		
09056500	"ELLIOTT CREEK FEEDER CANAL TO GREEN MTN RES, CO"	ST-CA	39.873725	-106.3305972	8054.92	14010002		
09077150	"FRYINGPAN RIVER FEEDER CANAL NEAR NORRIE, CO."	ST-CA	39.24498819	-106.5303078	9955.91	14010004		
09077250	"LILY PAD CREEK FEEDER CANAL NEAR NORRIE, CO."	ST-CA	39.25887684	-106.5380859	10200.5	14010004		
09077605	"IVANHOE CREEK FEEDER CANAL NEAR NAST, CO."	ST-CA	39.28720975	-106.5591977	10004	14010004		
09077750	"SF FRYINGPAN RIVER FEEDER CANAL NEAR NORRIE, CO."	ST-CA	39.2388767	-106.5900317	9997.8	14010004		
09077940	"CHAPMAN GULCH FEEDER CANAL NEAR NORRIE, CO."	ST-CA	39.24637627	-106.6297551	10032.6	14010004		
09077960	"SAWYER CREEK FEEDER CANAL NEAR NORRIE, CO."	ST-CA	39.26220945	-106.6280885	10047	14010004		
09078040	"NF FRYINGPAN RIVER FEEDER CANAL NEAR NORRIE, CO."	ST-CA	39.36165366	-106.5378087	10210	14010004		
09078050	"MORMON CREEK FEEDER CANAL NEAR NORRIE, CO."	ST-CA	39.3555426	-106.5339196	10090	14010004		
09078060	"CARTER CREEK FEEDER CANAL NEAR NORRIE, CO."	ST-CA	39.36665357	-106.5444755	10120	14010004		
09095530	"GOVERNMENT HIGHLINE CANAL NEAR MACK, CO."	ST-CA	39.2858126	-108.830103	4717	14010005		
09106108	"KIEFER EXTENSION GRAND VALLEY CANAL NR LOMA, CO."	ST-CA	39.2277579	-108.8189917	4585	14010005		
09175200	"LILYLANDS CANAL NEAR NORWOOD, CO."	ST-CA	38.0233251	-108.3848075	7940	14030003		
09231000	"SHEEP CREEK UPPER CANAL NEAR MANILA, UTAH"	ST-CA	40.8991204	-109.9348746	9070	14040106		
09231200	"CARTER CREEK CANAL NEAR MANILA, UTAH"	ST-CA	40.88550978	-109.9059854	8850	14040106		
09231500	"SHEEP CREEK LOWER CANAL NEAR MANILA, UTAH"	ST-CA	40.89023219	-109.8984853	8800	14040106		
09244405	"GIBRALTAR CANAL NEAR HAYDEN, CO."	ST-CA	40.48803004	-107.1558894	6400	14050001		
09265000	"OAKS PARK CANAL NEAR VERNAL, UTAH"	ST-CA	40.74329049	-109.6223657	9220	14060002		
09267500	"MOSBY CANAL NEAR LAPOINT, UT"	ST-CA	40.6082881	-109.8840393	9500	14060002	0.01	
09271070	"HIGHLINE CANAL BL MANTLE GULCH NR JENSEN, UTAH"	ST-CA	40.36690605	-109.5034685	5400	14060001		
09271470	"RIVER IRRIGATION COMPANY CANAL NEAR JENSEN, UTAH"	ST-CA	40.37857327	-109.4017985	4850	14060002		
09383300	"FILLER DITCH AT GREER, AZ"	ST-CA	34.01615875	-109.457868		15020001		
09385000	"LYMAN CANAL BLW. LYMAN RES. NR. ST. JOHNS, ARIZ."	ST-CA	34.36809558	-109.3825956		15020001		
09405499	"SPRINGDALE CANAL NR. SPRINGDALE, UT"	ST-CA	37.21164904	-112.9766067	3970	15010008		
09408175	"ST. GEORGE-WASHINGTON CANAL NR WASHINGTON, UT"	ST-CA	37.11498228	-113.440785	2680	15010008		
09415589	"CRYSTAL SPGS DIV NR HIKO, NV"	ST-CA	37.53182099	-115.2342993	3820	15010011		
09415639	"ASH SPGS DIV AT ASH SPGS, NV"	ST-CA	37.45982179	-115.1941025	3600	15010011		
09423560	"FIREBREAK CANAL AT HAVASU NWR NEAR NEEDLES, CA"	ST-CA	34.8079217	-114.5714914	473	15030101		
09428500	"CRIR MAIN CANAL NEAR PARKER, AZ"	ST-CA	34.16779378	-114.2766175	350.51	15030104		
09428503	C.R.I.R. MAIN CANAL GATE OPENING	ST-CA	34.16779378	-114.2766175				
09429000	"PALO VERDE CANAL NEAR BLYTHE, CA"	ST-CA	33.7319659	-114.5118999	274.13	15030104		
09429003	PALO VERDE CANAL GATE OPENINGS	ST-CA	33.7316881	-114.5127333		15030104		
09429155	"PVID F-CANAL SPILL NEAR BLYTHE, CA"	ST-CA	33.57474765	-114.5463436	265	15030104		
09429200	"PVID C CANAL SPILL NEAR BLYTHE, CA"	ST-CA	33.42780713	-114.6732907	230	15030104		
09433000	"SUNSET CANAL NR VIRDEN, NM"	ST-CA	32.65563048	-108.9339479		15040002		
09449500	"BROWN CANAL ST HEAD OF SAFFORD VALLEY,NR SOLOMON"	ST-CA	32.87367495	-109.5131307	3100			
09471560	"ST. DAVID DITCH NEAR ST. DAVID, AZ"	ST-CA	31.8084209	-110.2092423		15050202		
09471590	" POMERENE CANAL NR. ST. DAVID, ARIZ."	ST-CA	31.9336954	-110.2561842		15050202		
09475500	"FLORENCE-CASA GRANDE CANAL, NEAR FLORENCE, AZ."	ST-CA	33.0875614	-111.2867865	1557.98	15050100		
09475501	FLORENCE CASA GRANDE CANAL PUMPAGE	ST-CA	33.0875614	-111.2867865				
09475505	FLORENCE CASA GRANDE CANAL DIVERSION	ST-CA	33.0875614	-111.2867865				
09512495	"PERRY CANAL NR MAYER, AZ"	ST-CA	34.31502955	-112.0648788	3434	15070102	588	
09514000	" BUCKEYE CANAL NEAR AVONDALE, ARIZ."	ST-CA	33.3939316	-112.3740469	912.5	15070101		
09514020	LUKE AFB OIL/WATER CANAL	ST-CA	33.53059567	-112.3704376	1075	15070102		
09518500	"GILA BEND CANAL AT GILLESPIE DAM, AZ"	ST-CA	33.22921044	-112.7673929		15070101	49650	
09519000	"ENTERPRISE CANAL AT GILLESPIE DAM, AZ"	ST-CA	33.2292104	-112.7715597		15070101	49650	
09522500	"GILA GRAVITY MAIN CANAL AT IMPERIAL DAM, AZ-CA"	ST-CA	32.87615405	-114.455781	160	15030107		
09522600	"NORTH GILA MAIN CANAL NEAR YUMA, AZ"	ST-CA	32.8031001	-114.4952265		15030107		
09522650	"NORTH GILA MAIN CANAL NO. 2 NEAR YUMA, AZ"	ST-CA	32.75254574	-114.4935597		15030107		
09522700	"WELLTON-MOHAWK MAIN CANAL NEAR YUMA, AZ"	ST-CA	32.7422683	-114.4338356		15070201		
09522701	WELLTON-MOHAWK CANAL H1	ST-CA	32.7422683	-114.4338356				
09522703	WELLTON-MOHAWK CANAL K VALUES (BOTH GATES)	ST-CA	32.7422683	-114.4338356	160			
09522712	WELLTON-MOHAWK CANAL GATE OPENING	ST-CA	32.7422683	-114.4338356				
09522800	"SOUTH GILA MAIN CANAL NEAR YUMA, AZ"	ST-CA	32.6903255	-114.4760589	165	15070201		
09522850	"GILA GRAVITY CANAL AT YUMA-MESA PUMPING PLANT, AZ"	ST-CA	32.68305556	-114.47	211	15070201		
09522880	"MCAS DIVERSION OF B CANAL NEAR YUMA, AZ"	ST-CA	32.64888889	-114.5822222	208	15030107		
09522900	"UNIT B CANAL NEAR YUMA, AZ"	ST-CA	32.61782827	-114.6218965		15030108		
