FIPS,Alfalfa,Otherhay,Barley,Barley.Winter,Maize,Sorghum,Soybean,Wheat,Wheat.Winter
5015,0,NA,0,0,0,0,0,0,0
5017,0,352,0,0,45756,NA,104873,0,2561
5019,0,NA,0,0,0,0,0,0,0
5021,0,89,0,0,34007,565,90268,0,188
5023,0,707,0,0,0,0,0,0,0
5025,0,0,0,0,0,0,0,0,0
5027,0,162,0,0,0,0,0,0,0
5029,0,1315,0,0,NA,NA,8869,NA,NA
5031,0,124,0,0,29460,1085,100035,0,1335
5033,0,0,0,0,1224,0,2488,NA,NA
5035,0,0,0,0,NA,2549,109603,0,4334
5037,0,NA,0,0,9911,4791,123777,0,2483
5039,0,NA,0,0,0,0,0,0,0
5041,0,0,0,0,45974,1469,105837,0,777
5043,0,NA,0,0,17677,NA,31093,NA,NA
5045,0,378,0,0,NA,0,3253,NA,NA
5047,0,69,0,0,0,0,0,0,0
5049,0,0,0,0,0,0,0,0,0
5051,NA,NA,0,0,0,0,0,0,0
5053,0,NA,0,0,0,0,0,0,0
5055,0,361,0,0,25944,2190,47656,0,636
5057,0,186,0,0,0,0,0,0,0
5059,0,44,0,0,0,0,0,0,0
5061,0,120,0,0,0,0,0,0,0
5063,0,532,0,0,NA,NA,14943,NA,NA
5065,0,NA,0,0,NA,0,0,NA,NA
5067,0,NA,0,0,9754,1390,106282,0,1285
5069,0,357,0,0,38889,2314,99721,0,3788
5071,0,NA,0,0,NA,0,NA,0,0
5073,0,186,0,0,11406,NA,7502,NA,NA
5075,0,246,0,0,5222,992,44822,NA,NA
5077,0,NA,0,0,19175,3223,69940,0,3183
5079,0,NA,0,0,NA,NA,71154,0,3314
5081,0,99,0,0,4733,0,3939,NA,NA
5083,0,NA,0,0,464,0,NA,0,0
5085,0,557,0,0,25501,NA,89102,0,1154
5087,NA,NA,0,0,0,0,0,NA,NA
5089,0,0,0,0,0,0,0,0,0
5091,0,39,0,0,2540,0,1738,0,0
5093,0,33,0,0,15282,1415,110781,0,9894
5095,0,NA,0,0,28478,5825,101360,0,3162
5097,0,180,0,0,0,0,0,0,0
5099,0,0,0,0,0,0,0,0,0
5101,0,NA,0,0,0,0,0,0,0
5103,0,NA,0,0,0,0,0,0,0
5105,0,598,0,0,NA,0,1745,NA,NA
5107,0,0,0,0,44217,6486,130960,0,4341
5109,0,823,0,0,0,0,0,0,0
5111,0,NA,0,0,19630,873,147359,0,1698
5113,0,179,0,0,0,0,0,0,0
5115,0,362,0,0,NA,0,1730,NA,NA
5117,0,111,0,0,NA,1606,98327,0,0
5119,0,122,0,0,3220,NA,10143,NA,NA
5121,0,232,0,0,4374,NA,21233,0,0
5123,0,NA,0,0,15416,11151,107870,0,2446
5125,0,47,0,0,0,0,0,0,0
5127,0,0,0,0,0,0,0,0,0
5129,0,NA,0,0,0,0,0,0,0
5131,0,NA,0,0,0,0,0,0,0
5133,0,NA,0,0,0,0,0,0,0
5135,0,85,0,0,0,0,0,0,0
5137,0,64,0,0,0,0,0,0,0
5139,0,NA,0,0,0,0,0,0,0
5141,0,120,0,0,0,0,0,0,0
5143,0,124,0,0,0,0,NA,NA,NA
5145,0,1261,0,0,4346,NA,20192,0,433
5147,0,166,0,0,17420,3058,105826,0,3676
5149,0,430,0,0,411,0,1535,NA,NA
6001,0,0,0,0,0,0,0,0,0
6003,0,0,0,0,0,0,0,0,0
6005,0,0,0,0,0,0,0,0,0
6007,0,0,0,0,0,0,0,0,0
6009,0,0,0,0,0,0,0,0,0
6011,7801,1287,NA,0,5799,0,0,NA,NA
6013,4476,3264,NA,0,1851,0,0,NA,NA
6015,NA,NA,0,0,0,0,0,0,0
6017,NA,NA,0,0,18,0,0,0,0
6019,61682,14601,3264,0,4183,NA,0,NA,NA
6021,10654,4620,NA,0,7236,NA,0,0,1729
6023,93,2369,NA,0,9,0,0,NA,NA
6025,155091,80596,NA,0,580,0,0,NA,NA
6027,3967,1700,0,0,0,0,0,0,0
6029,54945,6990,NA,0,4598,NA,0,6742,25034
6031,46275,19211,NA,0,8486,5090,0,9624,41203
6033,NA,NA,0,0,0,0,0,0,0
6035,13458,17255,0,0,0,0,0,NA,NA
6037,NA,NA,NA,0,NA,0,0,0,0
6039,19705,4386,NA,0,2104,0,0,791,2546
6041,0,1120,0,0,0,0,0,0,0
6043,0,24,0,0,0,0,0,0,0
6045,379,2015,NA,0,NA,0,0,0,0
6047,61716,27468,NA,0,19255,0,0,4649,17165
6049,48591,29485,2348,0,NA,0,0,NA,7535
6051,10253,NA,0,0,0,0,0,0,0
6053,NA,NA,430,0,NA,0,0,NA,NA
6055,NA,NA,0,0,4,0,0,0,0
6057,0,258,0,0,4,0,0,0,0
6059,0,0,0,0,370,0,0,NA,0
6061,NA,NA,NA,0,NA,0,0,NA,0
6063,6782,3488,0,0,0,0,0,0,0
6065,26612,12906,1602,0,NA,13,0,NA,NA
6067,8480,6104,0,0,15372,NA,0,NA,NA
6069,NA,NA,0,0,12,0,0,NA,NA
6071,NA,NA,NA,0,16,0,0,0,0
6073,NA,NA,0,0,492,0,0,0,0
6075,0,0,0,0,0,0,0,0,0
6077,44995,14241,716,0,49930,242,0,2798,14511
6079,3607,5018,1573,0,264,0,0,NA,NA
6081,0,86,0,0,NA,0,0,0,0
6083,482,1345,NA,0,NA,0,0,NA,NA
6085,NA,NA,0,0,3,0,0,0,0
6087,0,0,0,0,0,0,0,NA,0
6089,2099,6284,NA,0,60,NA,0,NA,NA
6091,NA,NA,0,0,0,0,0,0,0
6093,54519,14828,2640,0,0,0,0,NA,NA
6095,29781,10981,0,0,9005,356,0,1697,7562
6097,NA,NA,0,0,12,0,0,NA,NA
6099,0,0,0,0,0,0,0,0,0
6101,6196,968,0,0,11254,994,0,1236,2594
6103,3486,6296,0,0,719,0,0,NA,NA
6105,66,NA,0,0,0,0,0,0,0
6107,66194,25803,324,0,15873,795,0,2646,23476
6109,0,8,0,0,5,0,0,0,0
6111,NA,NA,NA,0,0,0,0,0,0
6113,33519,5077,1558,0,14454,NA,NA,1600,25361
6115,NA,NA,0,0,NA,0,0,NA,NA
8001,0,0,0,0,0,0,0,0,0
8003,0,0,0,0,0,0,0,0,0
8005,0,0,0,0,0,0,0,0,0
8007,0,0,0,0,0,0,0,0,0
8009,0,0,0,0,0,0,0,0,0
8011,20041,1769,0,0,NA,441,0,341,911
8013,10018,8851,742,0,933,NA,0,0,925
8015,4711,5234,0,0,0,0,0,0,0
8017,809,652,0,0,16751,544,0,0,5715
8019,0,NA,0,0,0,0,0,0,0
8021,46001,22650,NA,0,0,0,0,NA,0
8023,15640,4809,3548,0,0,0,0,NA,0
8025,2725,318,0,0,222,475,0,NA,NA
8027,NA,NA,0,0,0,0,0,0,0
8029,19856,9577,75,0,4279,0,0,NA,NA
8031,0,0,0,0,0,0,0,0,0
8033,4806,530,NA,0,NA,0,0,NA,NA
8035,506,375,NA,0,NA,0,0,NA,NA
8037,2979,4450,0,0,0,0,0,0,0
8039,3087,3753,0,0,NA,0,0,0,415
8041,3023,654,0,0,726,0,0,NA,NA
8043,2941,2754,0,0,0,0,0,0,0
8045,16469,3754,0,0,0,0,0,NA,NA
8047,0,NA,0,0,0,0,0,0,0
8049,NA,NA,0,0,0,0,0,0,0
8051,NA,NA,0,0,0,0,0,0,0
8053,NA,NA,0,0,0,0,0,0,0
8055,4233,2768,0,0,0,0,0,0,0
8057,NA,NA,0,0,0,0,0,0,0
8059,NA,NA,0,0,0,0,0,NA,NA
8061,135,0,0,0,556,1316,0,0,893
8063,4269,4865,0,0,70666,NA,1741,0,19031
8065,0,NA,0,0,0,0,0,0,0
8067,14546,14734,0,0,NA,0,0,NA,NA
8069,13146,8941,1520,0,8419,0,NA,NA,NA
8071,6953,2198,0,0,26,0,0,0,0
8073,446,528,0,0,1676,0,0,0,1439
8075,22480,3409,NA,0,52824,0,NA,0,2175
8077,26240,10142,0,0,3844,0,156,NA,NA
8079,0,NA,0,0,0,0,0,0,0
8081,5949,6143,0,0,0,0,0,0,0
8083,26757,8062,NA,0,NA,0,0,602,1044
8085,18240,12207,140,0,10083,0,0,NA,NA
8087,19081,4099,NA,0,42927,0,0,NA,NA
8089,25066,2499,0,0,5583,76,NA,NA,NA
8091,NA,NA,0,0,0,0,0,0,0
8093,NA,NA,0,0,0,0,0,0,0
8095,613,125,NA,0,64191,NA,NA,0,1675
8097,NA,NA,0,0,0,0,0,0,0
8099,0,0,0,0,0,0,0,0,0
8101,5139,1527,0,0,3808,0,0,0,410
8103,4995,11817,0,0,0,0,0,0,0
8105,30100,13571,14590,0,0,0,0,NA,NA
8107,3686,30139,0,0,0,0,0,0,0
8109,22680,21214,NA,0,0,0,0,NA,NA
8111,0,0,0,0,0,0,0,0,0
8113,NA,NA,0,0,0,0,0,0,0
8115,2531,428,0,0,29360,0,NA,0,2032
8117,NA,NA,0,0,0,0,0,0,0
8119,NA,NA,0,0,0,0,0,NA,NA
8121,5914,1945,NA,0,26192,0,1589,NA,NA
8123,63047,14049,4551,0,78273,NA,0,315,17135
8125,8470,2795,0,0,178203,0,NA,0,6930
9001,0,0,0,0,0,0,0,0,0
9003,0,0,0,0,0,0,0,0,0
9005,0,0,0,0,0,0,0,0,0
9007,0,0,0,0,0,0,0,0,0
9009,0,0,0,0,0,0,0,0,0
9011,0,0,0,0,NA,0,0,0,0
9013,0,NA,0,0,NA,0,0,NA,NA
9015,0,61,0,0,0,0,0,0,0
10001,0,0,0,0,0,0,0,0,0
10003,0,0,0,0,0,0,0,0,0
10005,0,0,0,0,0,0,0,0,0
11001,0,0,0,0,0,0,0,0,0
12001,0,0,0,0,0,0,0,0,0
12003,0,0,0,0,0,0,0,0,0
12005,0,0,0,0,0,0,0,0,0
12007,0,0,0,0,0,0,0,0,0
12009,0,0,0,0,0,0,0,0,0
12011,0,0,0,0,0,0,0,0,0
12013,0,NA,0,0,NA,0,0,0,0
12015,0,0,0,0,0,0,0,0,0
12017,0,0,0,0,0,0,0,0,0
12019,0,NA,0,0,0,0,0,0,0
12021,0,0,0,0,NA,0,0,0,0
12023,0,1596,0,0,1076,0,0,0,0
12027,0,570,0,0,0,0,0,0,0
12029,0,240,0,0,NA,0,0,0,0
12031,0,0,0,0,0,0,0,0,0
12033,0,NA,0,0,810,0,NA,0,0
12035,NA,NA,0,0,NA,0,0,0,0
12037,0,0,0,0,0,0,0,0,0
12039,0,8,0,0,107,0,0,0,0
12041,0,636,0,0,NA,NA,0,0,0
12043,0,1062,0,0,NA,0,0,0,0
12045,0,0,0,0,0,0,0,0,0
12047,0,356,0,0,3705,0,0,0,0
12049,0,882,0,0,3,0,0,0,0
12051,0,160,0,0,0,0,0,0,0
12053,0,82,0,0,0,0,0,0,0
12055,0,838,0,0,0,0,0,0,0
12057,0,265,0,0,29,0,0,0,0
12059,0,25,0,0,NA,0,0,0,0
12061,0,0,0,0,0,0,0,0,0
12063,NA,NA,0,0,1472,NA,NA,NA,NA
12065,0,NA,0,0,14,0,NA,0,0
12067,NA,NA,0,0,2910,0,NA,0,0
12069,0,167,0,0,NA,0,0,0,0
12071,0,0,0,0,0,0,0,0,0
12073,0,NA,0,0,NA,0,NA,0,0
12075,0,1936,0,0,NA,0,0,0,0
12077,0,0,0,0,0,0,0,0,0
12079,0,1840,0,0,1843,16,381,0,0
12081,NA,NA,0,0,0,0,0,0,0
12083,0,1500,0,0,NA,0,0,NA,NA
12085,0,NA,0,0,0,0,0,0,0
12086,0,0,0,0,NA,0,NA,0,0
12087,0,0,0,0,0,0,0,0,0
12089,0,NA,0,0,NA,0,0,0,0
12091,NA,NA,0,0,7,0,0,0,0
12093,0,1603,0,0,0,0,0,0,0
12095,NA,NA,0,0,0,0,0,0,0
12097,0,NA,0,0,0,0,0,0,0
12099,0,0,0,0,0,0,0,0,0
12101,NA,NA,0,0,0,0,0,0,0
12103,0,NA,0,0,0,0,0,0,0
12105,0,1295,0,0,0,0,NA,0,0
12107,0,NA,0,0,NA,0,0,0,0
12109,0,NA,0,0,NA,0,0,0,0
12111,0,45,0,0,0,0,0,0,0
12113,0,31,0,0,43,0,0,0,0
12115,0,NA,0,0,0,0,0,0,0
12117,0,NA,0,0,0,0,0,0,0
12119,0,1115,0,0,0,0,0,0,0
12121,NA,NA,0,0,2003,NA,NA,0,0
12123,NA,NA,0,0,NA,0,0,0,0
12125,0,81,0,0,0,0,0,0,0
12127,NA,NA,0,0,NA,0,0,0,0
12129,0,0,0,0,10,0,0,0,0
12131,0,14,0,0,NA,0,0,0,0
12133,0,292,0,0,286,0,0,0,0
13001,0,0,0,0,0,0,0,0,0
13003,0,0,0,0,0,0,0,0,0
13005,0,0,0,0,0,0,0,0,0
13007,0,0,0,0,0,0,0,0,0
13009,0,0,0,0,0,0,0,0,0
13011,0,28,0,0,0,0,0,0,0
13013,0,NA,0,0,15,0,0,0,0
13015,0,NA,0,0,715,0,NA,0,0
13017,0,NA,0,0,1926,NA,0,0,0
13019,0,28,0,0,2150,0,0,NA,NA
13021,0,NA,0,0,0,0,156,0,0
13023,0,573,0,0,4363,0,2775,NA,NA
13025,0,NA,0,0,231,0,0,0,0
13027,0,769,0,0,1001,NA,1487,0,1007
13029,0,0,0,0,NA,0,0,0,0
13031,0,150,0,0,2664,0,884,0,268
13033,162,582,0,0,9278,0,2215,0,1348
13035,0,NA,0,0,0,0,0,0,0
13037,0,NA,0,0,6877,NA,0,0,598
13039,0,NA,0,0,0,0,0,0,0
13043,0,788,0,0,156,0,48,NA,NA
13045,0,NA,0,0,0,0,0,0,0
13047,0,NA,0,0,0,0,0,0,0
13049,0,NA,0,0,NA,0,0,0,0
13051,0,NA,0,0,0,0,0,0,0
13053,0,0,0,0,0,0,0,0,0
13055,0,13,0,0,NA,0,NA,0,0
13057,0,NA,0,0,0,0,0,0,0
13059,0,NA,0,0,0,0,0,0,0
13061,0,0,0,0,NA,0,NA,NA,NA
13063,0,0,0,0,0,0,0,0,0
13065,0,0,0,0,NA,0,0,0,0
13067,0,0,0,0,0,0,0,0,0
13069,0,811,NA,0,3469,0,769,NA,NA
13071,0,700,0,0,1546,45,153,NA,NA
13073,0,0,0,0,0,0,0,0,0
13075,0,400,0,0,453,0,NA,0,0
13077,0,92,0,0,0,0,0,0,5
13079,0,NA,0,0,NA,0,NA,NA,NA
13081,0,NA,0,0,835,1526,NA,0,647
13083,0,NA,0,0,0,0,0,0,0
13085,0,NA,0,0,NA,0,0,0,0
13087,0,170,0,0,5218,0,1263,0,381
13089,0,0,0,0,0,0,0,0,0
13091,0,314,0,0,1722,0,816,0,39
13093,0,85,0,0,1575,0,605,0,767
13095,0,NA,0,0,1908,0,0,0,0
13097,0,NA,0,0,0,0,0,0,0
13099,0,0,0,0,0,0,0,0,0
13101,0,0,NA,0,NA,0,0,0,0
13103,0,NA,0,0,375,0,NA,NA,NA
13105,0,0,0,0,NA,0,0,0,0
13107,0,0,0,0,177,0,325,0,0
13109,0,NA,0,0,701,0,NA,0,0
13111,0,NA,0,0,NA,0,0,0,0
13113,0,0,0,0,NA,0,0,0,0
13115,0,187,0,0,480,0,NA,0,0
13117,0,NA,0,0,0,0,NA,0,0
13119,0,25,0,0,175,0,NA,NA,NA
13121,0,46,0,0,0,NA,0,NA,NA
13123,0,5,0,0,0,0,0,0,0
13125,0,NA,0,0,NA,0,0,0,0
13127,0,0,0,0,0,0,0,0,0
13129,0,NA,0,0,1020,0,660,0,0
13131,0,176,0,0,3808,NA,NA,0,0
13133,0,NA,0,0,NA,0,0,NA,NA
13135,0,NA,0,0,0,0,0,0,0
13137,0,NA,0,0,NA,0,0,0,0
13139,0,NA,0,0,5,0,0,0,0
13141,0,NA,0,0,0,0,0,0,0
13143,0,NA,0,0,0,0,0,0,0
13145,0,14,0,0,NA,0,0,0,0
13147,NA,NA,0,0,533,0,NA,NA,NA
13149,0,NA,0,0,0,0,0,0,0
13151,0,0,0,0,0,0,0,0,0
13153,0,287,0,0,NA,NA,NA,0,806
13155,0,619,0,0,5986,NA,0,0,425
13157,0,57,0,0,0,0,NA,0,0
13159,0,NA,0,0,NA,0,0,0,0
13161,0,541,0,0,1667,NA,317,NA,NA
13163,NA,NA,0,0,6649,NA,1440,0,2477
13165,0,104,0,0,2508,0,NA,NA,NA
13167,0,NA,0,0,NA,0,0,NA,NA
13169,0,30,0,0,0,0,0,0,0
13171,0,572,0,0,NA,0,0,0,0
13173,0,NA,0,0,778,0,NA,NA,NA
13175,0,390,0,0,1521,15,1377,0,218
13177,0,NA,0,0,4119,0,NA,0,1597
13179,0,0,0,0,0,0,0,0,0
13181,0,0,0,0,0,0,0,0,0
13183,0,0,0,0,0,0,0,0,0
13185,0,NA,0,0,1677,0,400,0,0
13187,0,0,0,0,0,0,0,0,0
13189,0,NA,0,0,0,0,0,0,0
13191,0,0,0,0,0,0,0,0,0
13193,NA,NA,0,0,3884,0,1781,0,1004
13195,0,NA,0,0,42,0,0,0,0
13197,0,213,0,0,750,NA,112,0,0
13199,0,NA,0,0,NA,0,NA,0,12
13201,0,265,0,0,5577,0,NA,0,1504
13205,0,NA,0,0,NA,NA,1229,0,660
13207,0,0,0,0,0,0,0,0,0
13209,0,NA,0,0,1551,0,NA,0,0
13211,0,622,0,0,NA,0,0,0,0
13213,0,NA,0,0,NA,0,0,0,0
13215,0,0,0,0,0,0,0,0,0
13217,0,0,0,0,NA,0,0,0,0
13219,0,343,0,0,NA,0,0,NA,NA
13221,NA,NA,0,0,0,0,0,0,0
13223,0,NA,0,0,0,0,0,0,0
13225,0,120,0,0,NA,0,NA,0,1500
13227,0,NA,0,0,NA,0,0,0,0
13229,0,NA,0,0,2913,0,705,0,584
13231,0,28,0,0,NA,0,0,0,0
13233,0,0,0,0,0,0,0,0,0
13235,0,NA,0,0,2643,NA,200,NA,NA
13237,0,151,0,0,0,0,0,0,0
13239,0,0,0,0,0,0,0,0,0
13241,0,NA,0,0,9,0,0,0,0
13243,0,351,0,0,4528,NA,1146,0,922
13245,NA,NA,0,0,0,0,0,0,0
13247,0,0,0,0,0,0,0,0,0
13249,0,0,0,0,156,NA,NA,NA,NA
13251,0,694,0,0,4854,0,135,0,2371
13253,0,110,0,0,7621,0,2863,0,1984
13255,0,NA,0,0,0,0,0,0,0
13257,0,0,0,0,0,0,0,0,0
13259,0,30,0,0,NA,0,0,0,0
13261,0,NA,0,0,6493,NA,719,0,1530
13263,0,NA,0,0,0,0,0,0,0
13265,0,NA,NA,0,0,NA,0,0,0
13267,0,148,0,0,2122,0,962,0,683
13269,0,425,0,0,302,0,1316,0,258
13271,0,248,0,0,1377,113,153,0,298
13273,0,30,0,0,7168,134,501,0,1717
13275,0,279,0,0,1618,0,NA,NA,NA
13277,NA,NA,0,0,1297,NA,0,0,1440
13279,0,161,0,0,2396,0,2101,0,369
13281,0,0,0,0,0,0,0,0,0
13283,0,0,0,0,NA,0,0,0,0
13285,0,NA,0,0,0,0,0,0,0
13287,0,NA,0,0,877,692,0,0,329
13289,0,150,0,0,593,0,0,0,0
13291,0,0,0,0,0,0,0,0,0
13293,0,0,0,0,NA,0,0,0,0
13295,0,84,0,0,0,0,0,0,0
13297,0,NA,0,0,NA,0,0,0,0
13299,0,NA,0,0,2024,0,0,0,0
13301,0,NA,0,0,0,0,0,0,0
13303,0,92,0,0,3152,0,1034,0,630
13305,0,NA,0,0,806,0,2264,NA,NA
13307,0,NA,0,0,105,0,0,NA,NA
13309,0,0,0,0,651,145,NA,NA,NA
13311,0,NA,0,0,0,0,NA,0,0
13313,0,0,0,0,0,0,0,0,0
13315,NA,NA,0,0,1822,NA,0,0,797
13317,0,0,0,0,NA,0,0,0,0
13319,0,NA,0,0,NA,0,NA,0,190
13321,0,NA,0,0,5707,0,204,0,1364
16001,0,0,0,0,0,0,0,0,0
16003,0,0,0,0,0,0,0,0,0
16005,0,0,0,0,0,0,0,0,0
16007,0,0,0,0,0,0,0,0,0
16009,0,0,0,0,0,0,0,0,0
16011,46981,3977,10180,0,2473,0,0,51003,92150
16013,17524,3358,13596,0,0,0,0,NA,0
16015,1340,611,0,0,0,0,0,0,0
16017,246,469,0,0,0,0,0,0,0
16019,25296,757,57622,0,624,0,0,13887,4893
16021,NA,NA,0,0,0,0,0,NA,0
16023,NA,NA,12318,0,0,0,0,4920,1169
16025,10101,207,3266,0,NA,0,0,NA,0
16027,NA,NA,1395,0,29887,NA,0,3219,28386
16029,15742,3833,19516,0,0,0,0,6200,5062
16031,46154,9963,NA,0,1119,0,0,14677,32912
16033,NA,NA,1114,0,0,0,0,NA,NA
16035,NA,NA,0,0,0,0,0,0,0
16037,21646,5019,912,0,NA,0,0,NA,0
16039,24477,3538,NA,0,8575,0,0,5087,10995
16041,29721,2915,7019,0,1066,0,0,1290,5836
16043,14041,1068,36482,0,0,0,0,29109,923
16045,10359,3200,719,0,4148,0,0,NA,NA
16047,26163,1974,3125,0,14157,0,0,NA,NA
16049,521,131,0,0,0,0,0,0,0
16051,59027,2842,41111,0,NA,0,0,32803,2276
16053,36446,1433,20457,0,3942,0,0,NA,NA
16055,3406,2063,519,0,0,0,0,4375,0
16057,326,30,0,0,0,0,0,0,0
16059,23524,12833,NA,0,0,0,0,NA,0
16061,0,0,0,0,0,0,0,0,0
16063,24266,2576,NA,0,3702,0,0,3660,1935
16065,14797,1199,36419,0,0,0,0,NA,NA
16067,36191,272,31986,0,1837,0,0,NA,15425
16069,388,144,0,0,0,0,0,NA,0
16071,20082,4350,1218,0,NA,0,0,3240,1826
16073,45371,15169,1248,0,21055,NA,0,NA,NA
16075,15151,1404,178,0,7446,0,0,NA,NA
16077,6387,991,419,0,1844,0,0,NA,NA
16079,0,6,0,0,0,0,0,0,0
16081,8811,4932,20226,0,0,0,0,2496,834
16083,63342,3640,30486,0,20828,0,0,NA,19660
16085,1702,2588,0,0,0,0,0,NA,NA
16087,18363,2409,439,0,3500,0,0,1269,3996
17001,0,0,0,0,0,0,0,0,0
17003,0,0,0,0,0,0,0,0,0
17005,0,0,0,0,0,0,0,0,0
17007,0,0,0,0,0,0,0,0,0
17009,0,0,0,0,0,0,0,0,0
17011,NA,NA,0,0,9260,0,1160,0,30
17013,0,0,0,0,0,0,0,0,0
17015,NA,NA,0,0,5111,0,1304,0,0
17017,NA,NA,0,0,17639,0,3547,NA,NA
17019,0,0,0,0,11831,0,4082,0,1424
17021,0,0,0,0,0,0,NA,0,0
17023,0,NA,0,0,3515,NA,2502,0,382
17025,NA,NA,0,0,NA,0,NA,0,0
17027,NA,NA,0,0,489,0,624,NA,NA
17029,0,NA,0,0,0,0,0,0,0
17031,NA,NA,0,0,NA,0,0,0,0
17033,0,NA,0,0,4625,NA,3230,0,699
17035,0,0,0,0,0,0,0,0,0
17037,0,0,0,0,1529,0,1522,NA,NA
17039,0,0,0,0,NA,0,NA,0,0
17041,NA,NA,0,0,3,0,79,0,0
17043,0,0,0,0,0,0,0,0,0
17045,0,0,0,0,NA,0,NA,NA,NA
17047,0,0,0,0,NA,0,NA,NA,NA
17049,264,0,0,0,708,0,586,0,44
17051,NA,NA,0,0,4,0,NA,0,23
17053,0,0,0,0,480,0,NA,0,0
17055,0,0,0,0,0,0,0,0,0
17057,0,0,0,0,1423,0,689,NA,NA
17059,NA,NA,0,0,16008,NA,9690,0,775
17061,0,0,0,0,6240,0,2561,0,0
17063,0,0,0,0,NA,0,NA,0,0
17065,0,NA,0,0,0,0,0,0,0
17067,NA,NA,0,0,2480,0,111,NA,NA
17069,0,0,0,0,0,0,0,0,0
17071,NA,NA,0,0,7241,0,3283,0,127
17073,NA,NA,0,0,7168,0,1131,0,0
17075,0,0,0,0,2963,0,NA,0,0
17077,34,0,0,0,768,0,497,0,103
17079,0,0,0,0,0,0,0,0,0
17081,12,17,0,0,NA,NA,NA,NA,NA
17083,0,0,0,0,0,0,0,0,0
