"year","sw","gw","swcost","gwcost","revenue","opcost","barley","corn","sorghum","soybean","wheat","hay","precip"
1967,7.593000900746659e6,137349.57978147836,2.383398259645813e6,472645.5588265295,2.1665194802691164e9,1.0040852909968117e9,6.763153170915715e6,2.3840564909380513e8,6.260864685523517e6,72157.3131007368,6.804527318364409e7,3.6549268857137477e6,33212.87394616004
1968,7.148642912215969e6,636718.6803781783,2.2092534077965287e6,1.1155359826043906e7,2.272717421629926e9,1.0040852909968117e9,6.596544149148654e6,2.39450616187867e8,6.253916427977788e6,61989.16324683075,8.814701338086557e7,3.5656555466951e6,26758.250868161707
1969,7.4946898717529625e6,223294.5343035148,2.250036331496295e6,2.3352621991671952e6,2.1458522367958975e9,1.0040852909968117e9,7.042390611596588e6,2.2103038111699855e8,5.754634390735503e6,64553.13761862906,7.76685177375663e7,3.817727875164077e6,38378.89889038195
1970,7.500660074238555e6,273052.0227197776,2.328120030829091e6,3.351470471087292e6,2.1736413229666986e9,1.0040852909968117e9,6.679820823830048e6,2.14412111050322e8,5.508856509814083e6,63625.65339344848,9.364003165737161e7,3.628950477686937e6,30642.205359532913
1971,7.537665247363847e6,217437.69390897956,2.282904170691674e6,2.1504735604954213e6,2.0238419163583274e9,1.0040852909968117e9,6.950511245026854e6,1.996773940144591e8,5.542177694770723e6,72291.60524583112,8.09251830843697e7,3.60780831427613e6,29756.424082010348
1972,7.50790525403622e6,235239.06919596196,2.2520981123368833e6,2.5292526116366126e6,2.087210655654657e9,1.0040852909968117e9,7.025777174216997e6,2.0621226103096968e8,5.59404972665139e6,65801.4790025281,8.735522921403678e7,3.5464951617637626e6,30658.7534483817
1973,7.577531869797392e6,142941.09607476482,2.199528691205651e6,528682.4533435875,2.382807053355523e9,1.0040852909968117e9,6.873568421512365e6,2.4366712379859397e8,5.659688869052405e6,73534.43483258827,1.0283882249276428e8,3.644379901449207e6,32592.603808295495
1974,7.207263108075786e6,595435.4939729227,2.3234190862951204e6,1.0236080886560535e7,2.1387682974471571e9,1.0040852909968117e9,6.619645999943397e6,2.121857419681799e8,5.378739241274085e6,64258.60549193663,9.412594227998918e7,3.430979326121065e6,25788.898993557686
1975,7.025717381248296e6,738301.6715073951,2.3284956405698163e6,1.3643828647637274e7,2.0133187529687238e9,1.0040852909968117e9,6.912369431936849e6,2.0976498301061714e8,5.425927219556423e6,67759.07746016564,7.037500575757891e7,3.58210863512574e6,29814.774762832298
1976,6.519626204827985e6,1.2790584434111058e6,1.9447831679356962e6,2.4998478626357093e7,2.0770454600530179e9,1.0040852909968117e9,7.261837077935398e6,2.1394164805321473e8,5.438138264115479e6,62887.27832647221,8.047146053570586e7,3.452536496440222e6,25699.717723503065
1977,7.192947328342564e6,572806.6362584989,2.327695252310138e6,9.73259803957119e6,2.0484954979332693e9,1.0040852909968117e9,5.968315920639151e6,2.038090307265911e8,5.537329561140206e6,55943.93297698074,8.376833401411058e7,3.534096926414915e6,27295.406870720064
1978,6.737163986604689e6,1.0327209355535564e6,2.0027514626140692e6,2.00138760985964e7,2.175203675741412e9,1.0040852909968117e9,6.908186150637755e6,2.4387129031877065e8,5.492488917610326e6,59199.529967553186,6.365361173776306e7,3.7433690275078537e6,31565.04428861905
1979,7.486686990657624e6,221912.60631228532,2.1142069688746654e6,2.32488345377299e6,2.0568987778805194e9,1.0040852909968117e9,7.349222407576093e6,1.9978007164451644e8,5.672410136054383e6,72699.82645989698,8.333910754279195e7,3.7400156496182363e6,35393.05241278796
1980,7.523190523731586e6,230645.9465547581,2.1740182022157586e6,2.4707606635143147e6,2.1868361887614746e9,1.0040852909968117e9,7.178465905451711e6,2.187866113567761e8,5.592022990686089e6,50703.82952923703,9.04193739966415e7,3.6762382828933815e6,31934.82179429167
1981,7.55871426849103e6,174197.8790607319,2.2024017808395615e6,1.2074168032259997e6,1.8985997025887566e9,1.0040852909968117e9,6.298416869431296e6,1.9247269780202308e8,5.61587829723393e6,59532.12976427989,6.406242819751373e7,3.6795400380220497e6,32453.17604584509
1982,7.573910046553816e6,146302.01563481565,2.196026240878207e6,630444.4327342851,2.1052070788757265e9,1.0040852909968117e9,6.75852078750707e6,2.1995085790089262e8,5.64274680692285e6,71029.77747392896,7.390924544984965e7,3.7211087032670574e6,34630.16826725464
1983,7.569597540782788e6,158100.3312343044,2.192323041676063e6,909676.0587719064,2.1390882101432977e9,1.0040852909968117e9,7.419878263671189e6,2.0207700338813633e8,5.570782963951913e6,63632.360642254986,9.264217759499577e7,3.891433898862211e6,39235.65493393705
1984,7.488528971878687e6,253374.27897511772,2.261477216132477e6,2.931547597100496e6,2.0909869945473554e9,1.0040852909968117e9,7.166232904733811e6,1.9333925761566702e8,5.549751475992302e6,69410.293873378,9.554381802779931e7,3.750837480484664e6,36183.94349469198
1985,7.460355669166961e6,279909.9489351902,2.3741276853631567e6,3.5307648330387482e6,2.169308983718944e9,1.0040852909968117e9,6.89126951994241e6,2.118427448793433e8,5.614678398813018e6,68347.50963981116,9.25058108455986e7,3.7398392165073305e6,36457.64873034677
1986,7.403992343642521e6,344642.4591540378,2.408647213469662e6,4.920928040162566e6,2.035221894535923e9,1.0040852909968117e9,6.618142482548818e6,1.9033599321900243e8,5.579071312606169e6,58502.11534725948,9.05857533588216e7,3.66726765294322e6,34546.35708033931
1987,7.565125238171204e6,157331.90968219723,2.184585826644117e6,863536.531859243,2.0918093275501122e9,1.0040852909968117e9,6.484679227289863e6,2.071851893464383e8,5.654208941275208e6,64058.16366483437,8.525063586512983e7,3.6492574537006128e6,33086.76757467848
1988,7.531903262609407e6,226210.12127230066,2.475312466831265e6,2.3307678324948964e6,2.0715239757197871e9,1.0040852909968117e9,6.894846646955362e6,2.088131438260227e8,5.509185115767499e6,62587.65082108171,8.097297624179313e7,3.608282329712728e6,29884.277467631262
1989,7.2268336468383605e6,538163.8863998158,2.3113203664219445e6,8.991095472317912e6,1.969804150310947e9,1.0040852909968117e9,6.700165847900592e6,2.0484156526903084e8,5.693638590578209e6,68828.34712214369,6.956238135645571e7,3.463481293944584e6,26327.95827657042
1990,7.472011375485045e6,244139.8336884078,2.0983916291607213e6,2.7898098523849407e6,2.07223203529805e9,1.0040852909968117e9,7.282579547570813e6,2.1211023362032318e8,5.668369838274822e6,58306.26940842721,7.510781362625009e7,3.716970154893726e6,35664.500820627734
1991,7.492257713521695e6,230268.53417687,2.1554066337870397e6,2.4553208611813555e6,2.076817460338712e9,1.0040852909968117e9,6.6333101901528705e6,2.0292065857653835e8,5.801375819261649e6,68135.732784002,8.687661311984774e7,3.6202749343839097e6,33159.632633529916
1992,7.486404597731576e6,244306.62986780645,2.148671397840259e6,2.7505597996341246e6,2.2982246688852305e9,1.0040852909968117e9,7.375788095836965e6,2.3906267444156155e8,5.6168927708646925e6,71909.55271044154,9.058599004133146e7,3.698971444640725e6,32433.71519525972
1993,7.490795653568607e6,234349.17714380735,2.19735941190403e6,2.553560290976341e6,2.2582202000033503e9,1.0040852909968117e9,7.286647373956358e6,2.206709452421509e8,5.681691981004606e6,60428.253302395126,9.907776123135826e7,3.770646061895426e6,34159.99061204572
1994,7.507756267669954e6,253059.93868581828,2.1909438013554397e6,2.9536548437497136e6,2.1174181060979042e9,1.0040852909968117e9,6.930593059101953e6,1.9430635354156485e8,5.6422881221107375e6,72240.02642566824,1.0289060426840654e8,3.5913577230010913e6,29935.990269806778
1995,7.5636695112300785e6,137387.0227597618,2.1958611926655066e6,472774.47354707116,2.160280307090198e9,1.0040852909968117e9,6.919939943994629e6,2.1836177932780758e8,5.851146645820145e6,62451.873313322256,8.36491423919678e7,3.7739291131260074e6,38149.00587390983
1996,7.581050918408203e6,140024.37040338057,2.201175499514218e6,482343.5778514033,1.9364137117531085e9,1.0040852909968117e9,6.593829223040713e6,1.6146893918119645e8,5.607777472584451e6,70780.29224591801,9.778690449621296e7,3.764927967991255e6,34305.64326342833
1997,7.54907655974866e6,152690.246536137,2.1818732434061905e6,830806.0713655268,2.1566139487926006e9,1.0040852909968117e9,7.535343802425084e6,2.1776325994915777e8,5.869053268244163e6,70944.72002951277,8.102171212843612e7,3.8681735425527007e6,39252.441025465836
1998,7.5365459023795435e6,196437.50531047903,2.1476823262659847e6,1.719469192485957e6,2.1714419216668797e9,1.0040852909968117e9,6.426053848001702e6,2.085363344833618e8,5.6824849924441045e6,60839.41296869778,9.690603824311234e7,3.7078997246560743e6,32656.120201078757
1999,7.523887782945915e6,190357.34609788275,2.1437555919032563e6,1.5908876481888068e6,2.114130007024845e9,1.0040852909968117e9,6.822092042995531e6,2.0748439479856327e8,5.717272672958223e6,65057.093684719744,8.874565801177855e7,3.64425359670444e6,35587.76852974251
2000,7.515797306686695e6,246769.2327600915,2.1161641564407027e6,2.773907147186043e6,2.0229646380390227e9,1.0040852909968117e9,6.594786089948468e6,2.0106488898314852e8,5.452580377335885e6,56128.39490913679,8.122809241702327e7,3.5466635046198256e6,29767.78828865313
2001,7.530290698673862e6,209604.28520100508,2.1522206136087854e6,1.9979462868409385e6,1.9291922812404242e9,1.0040852909968117e9,6.82904279316345e6,1.7752090669818556e8,5.54614056169615e6,70534.19103841661,8.467705163522725e7,3.616602731810931e6,30329.394020264634
2002,6.73644516409286e6,1.0841360057556476e6,2.16822962695961e6,2.1241917960833993e7,1.8642224898419392e9,1.0040852909968117e9,5.805975591649991e6,1.8950634078783798e8,5.368405215104006e6,62300.81083091654,6.997455757296218e7,3.2926934032906615e6,20446.555309161184
2003,7.495678854224285e6,271094.30044794024,2.3863236357215387e6,3.216286350216835e6,1.8064700510234175e9,1.0040852909968117e9,6.278880506596997e6,1.677182793103687e8,5.484407355765052e6,72591.01577599262,7.347360319086073e7,3.56828139766751e6,29081.669807730217
2004,6.981215814159909e6,751866.5132439034,2.2659947241579555e6,1.3827554784531426e7,1.8751955517476554e9,1.0040852909968117e9,6.3454641964747105e6,1.814385980169431e8,5.879066095320391e6,74916.3921420211,7.037045700301766e7,3.6515734290144495e6,33665.877376038494
2005,7.5050621119721895e6,234476.23431223657,2.127625535755682e6,2.455510131830675e6,2.090430558818174e9,1.0040852909968117e9,6.706198546126246e6,1.940344340484945e8,5.664820550030938e6,68405.5437037804,9.569050076477107e7,3.7157627853701017e6,33193.512333558894
2006,7.4076167710300265e6,348730.84434727853,2.3014701901227473e6,4.931147756713688e6,1.92974697184552e9,1.0040852909968117e9,6.134016159804516e6,1.810578318272573e8,5.688653467678013e6,54177.47846067426,8.17517121700703e7,3.615327262928895e6,32262.789792096904
2007,7.49765608373964e6,243969.49426355038,2.182373959066477e6,2.695755249905141e6,1.952959862254976e9,1.0040852909968117e9,6.422598265740039e6,1.8230273212031183e8,5.597192775666283e6,57321.11935592977,8.35079185687034e7,3.668207560050977e6,33087.54025223251
2008,7.48477070827039e6,253491.92238037207,2.1570709727181573e6,2.84950140108787e6,2.034334622789682e9,1.0040852909968117e9,6.222502789466124e6,2.045429033530322e8,5.691114057793604e6,66671.65285279238,7.850044298859031e7,3.6073217921100366e6,30234.75097930021
2009,7.5455087165528e6,141678.682633824,2.1851069023063546e6,488363.9209833064,1.9446567799107108e9,1.0040852909968117e9,6.463139694631573e6,1.8134222526272774e8,5.757917988689e6,73667.01177667733,8.254759834541252e7,3.6711411638985826e6,32763.638351005906
2010,7.601612605446508e6,142819.3095643798,2.2124214880650965e6,492500.3558886027,2.1600958524266977e9,1.0040852909968117e9,8.583609674727665e6,1.8194097105175737e8,5.585462665553737e6,30502.041057050403,1.1026935365434115e8,4.085147203956975e6,30770.239416128617
