,County,WaterstatsID,UtilityType,UtilityName,AWWAGroup,Category,Region,AWWA_City,State_Name,State,Zip,Country,FIPS,City,PopDens,MedianIncome,Ground,Surface,Purchases,PrimarySource,SplitPercent,ResidentialRateStr,RateStruct,Seasonal,ResCharges1000cfService,ResCharges1000cfVolume,ResCharges1000cfTotal,ResCharges1500cfService,ResCharges1500cfVolume,ResCharges1500cfTotal,FixedChargeRatio,WWCharges1000cfService,WWCharges1000cfVolume,WWCharges1000cfTotal,WWCharges1500cfService,WWCharges1500cfVolume,WWCharges1500cfTotal,CombResCharges1000cfService,CombResCharges1000cfVolume,CombResCharges1000cfTotal,CombResCharges1500cfService,CombResCharges1500cfVolume,CombResCharges1500cfTotal,MGDailyWaterTreatmntProdCapacity,MGDAverageDayWaterProduction,MGDMaxDayWaterProduction,AvgPlantUtilization,MaxPlantUtilization,AnnualMGallonsSoldResNonres,AnnualMGallonsSoldWholesale,AnnualMGallonsSoldTotal,SvcPopRetail,SvcPopWholesale,SvcPopTotal,X.x,ScvPop,DailyPerCapitaConsumptionGallons,ActiveAccountResidential,ActiveAccountNonRes,AccountRatio_NonRes,ActiveAccountWholesale,ActiveAccountTotal,BSFullTimeEmployees,MGYWWTotalGallonsTreated,WaterPerEmployee,BSTotalAssets,BSLongtermDebt,DebtRatio,BSTotalAssetsComb,BSLongTermDebtComb,DebtRatioComb,ISOperatingRevenues,ISBeforeDepreciation,IncomeStatement_Depreciation_Expense,OpExpRev,ISInterestExpense,ISNetIncome,DebtPerMG,OpExpPerMG,NonOperatingRevenue,NonOperatingIncome,ISOperatingRevenuesComb,ISBeforeDepreciationComb,OpExpRevComb,ISInterestExpenseComb,ISNetIncomeComb,AverageCapitalNeeds,IncomeStatement_W_C_WW,WaterIS_Period,WastewaterIS_Period,UtilityType.1,WaterOnly,TempAve,TempVar,PrecipAnnual,PrecipSeasonal,MaxCumDef,NDI,X.y,mean,depth
11,Atchison,4231,1,City of Atchison,C,U,Midwest,Atchison,Kansas,KS,66002,USA,20005,Atchison,37.8,40684,0,100,0,1,2,DB,3,0,23.38,21.99,45.37,23.38,36.49,59.87,0.64,0,0,0,0,0,0,23.38,21.99,45.37,23.38,36.49,59.87,8.6,3.754,5.678,43.65%,66.02%,840.396,188.594,1028.99,10402,2650,13052,1,13052,215.9937699,3706,496,0.133837021,5,4207,5.5,0,187.0890909,"11,358,405.00","6,390,072.00",0.56,"11,358,405.00","6,390,072.00",0.56,2733628,"1,394,251.00",479110,0.51,"352,394.00","1,383,936.00","6,210.04","1,354.97",0,1,"2,733,628.00","1,394,251.00",0.51,"352,394.00",1383936,"210,411.00",Water only,CY09,N / R,1,1,12.19,13.42,923.55,4.35,0.240948368,1.242559969,65,1099.280899,685.1325214
12,Baltimore,1168,2,City of Baltimore Department of Public Works,A,U,South,Baltimore,Maryland,MD,21202,USA,24005,Baltimore,1300.3,39336,0,100,0,1,2,DB,3,0,8.23,16.46,24.69,8.23,28.81,37.04,0.29,11.06,22.13,33.19,11.06,38.72,49.78,19.29,38.59,57.88,19.29,67.53,86.82,360,226,0,62.78%,0.00%,25769,37195,62964,1800000,0,1800000,0,1800000,95.83561644,193881,0,0,4,193885,893,65000,70.50839866,"1,007,440,000.00","454,940,000.00",0.45,"2,761,248,000.00","1,102,175,000.00",0.4,119840000,"94,547,000.00",11888000,0.79,"10,434,000.00","3,364,000.00","7,225.40","1,501.60",0,0,"119,840,000.00","215,670,000.00",1.8,"20,462,000.00",8956000,"74,093,820.80",Water only,FY09,N / R,2,1,11.47,10.9,"1,106.57",1.31,1.936986763,194.8737825,85,1343.935696,712.3397972
13,Bartow,2553,1,Cartersville Water Department,C,U,South,Cartersville,Georgia,GA,30120,USA,13015,Cartersville,196.2,53832,0,100,0,1,2,IB,2,0,6,12,18,6,26.94,32.94,0.22,0,0,0,0,0,0,6,12,18,6,26.94,32.94,27,11.02,14.06,40.81%,52.07%,2363,1701,4064,19382,76818,96200,0,96200,115.7406089,9036,1401,0.155046481,1,10438,21,0,193.5238095,0,0,#DIV/0!,0,0,#DIV/0!,11420000,"10,129,400.00",0,0.89,0,"329,600.00",0,"2,492.47",1,0,"11,420,000.00","10,129,400.00",0.89,0,329600,"12,039,250.00",Combined water and wastewater,FY09,N / R,1,1,15.59,10.03,"1,305.98",1.41,0.006829747,4.345174021,101,2453,337.4033195
14,Bay,2390,1,City of Panama City,C,U,South,Panama City,Florida,FL,32405,USA,12005,Panama City,208.3,41290,0,0,100,4,,U,1,0,6.4,18.55,24.95,6.4,27.83,34.23,0.23,0,0,0,0,0,0,6.4,18.55,24.95,6.4,27.83,34.23,0,0,0,0.00%,0.00%,1988.175,0,1988.175,38000,0,38000,0,38000,143.3435472,13778,3227,0.234213964,0,17005,89.5,0,22.21424581,0,0,#DIV/0!,0,0,#DIV/0!,14736091,"9,689,123.00",2010357,0.66,"829,960.00","1,344,651.00",0,"4,873.38",1,0,"14,736,091.00","9,689,123.00",0.66,"829,960.00",1344651,"1,157,000.00",Combined water and wastewater,FY09,N / R,1,1,14.74,5.77,"1,391.78",1.93,0.015210278,1.206090066,105,3947.719008,3598.653966
15,Bennington,3905,1,City of Bennington,C,U,Northeast,Bennington,Vermont,VT,5201,USA,50003,Bennington,54.6,44081,5,95,0,1,1,U,1,0,44.87,20.64,65.51,44.87,30.97,75.84,1.45,0,0,0,0,0,0,44.87,20.64,65.51,44.87,30.97,75.84,4,1.5,2.8,37.50%,70.00%,538,7.2,545.2,13000,1,13001,1,13001,114.8910569,2800,1000,0.357142857,1,3801,6,0,90.86666667,"8,949,679.00","6,455,608.00",0.72,"8,949,679.00","6,455,608.00",0.72,1385168,"1,457,974.00",411349,1.05,0,"-484,155.00","11,840.81","2,674.20",0,0,"1,385,168.00","1,457,974.00",1.05,0,-484155,"1,000,000.00",Water only,FY09,N / R,1,1,5.74,12.9,"1,329.05",1.16,0.001165819,8.08999994,125,945.6666667,338.098112
16,Benton,1547,3,Benton Washington Reg. Public Water Auth.,C,U,South,Rogers,Arkansas,AR,72756-9088,USA,5007,Rogers,206.6,52932,0,100,0,1,2,NA,NA,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,16,7.01,16,43.81%,100.00%,0,2260.738,2260.738,0,100540,100540,1,0,61.60535846,0,0,#DIV/0!,17,17,16,0,141.296125,"68,576,213.00","49,689,705.00",0.72,"68,576,213.00","49,689,705.00",0.72,4625323,"1,794,047.00",1217860,0.39,"1,195,252.00","642,431.00","21,979.42",793.57,0,0,"4,625,323.00","1,794,047.00",0.39,"1,195,252.00",642431,"1,350,000.00",Water only,N / R,N / R,3,0,14.48,11.41,"1,139.00",1.93,0.013021176,0.44850403,128,2073.108052,1683.007876
17,Benton,3660,2,City of Corvallis,C,U,West,Corvallis,Oregon,OR,97330,USA,41003,Corvallis,121.3,46082,0,100,0,1,2,IDB,4,0,12.15,12.43,24.58,12.15,23.98,36.13,0.51,9.88,29.4,39.28,9.88,44.1,53.98,22.03,41.83,63.86,22.03,68.08,90.11,24,7.1,16.2,29.58%,67.50%,2529.4,0,2529.4,55125,0,55125,1,55125,125.7118007,13415,1165,0.086843086,0,14580,32.90999985,3399.73,76.8580982,"51,315,434.00","4,625,080.00",0.09,"131,933,109.00","23,091,674.00",0.18,8786133,"8,051,351.00",1635852,0.92,"292,358.00","-487,556.00","1,828.53","3,183.11",0,1,"18,083,566.00","16,253,144.00",0.9,"1,241,476.00",-1710462,"1,263,422.00",Water only,FY09,FY09,2,1,10.43,7.47,"1,699.13",13.14,0.01281876,1.154751326,128,2073.108052,1683.007876
18,Benton,3594,2,"Kennewick, City of",C,U,West,Kennewick,Washington,WA,99336,USA,53005,Kennewick,90,53899,41.28,58.72,0,3,,U,1,0,9.32,10.57,19.89,9.32,15.86,25.18,0.59,19.24,0,19.24,19.24,0,19.24,28.56,10.57,39.13,28.56,15.86,44.42,30,10.8,24.06,36.00%,80.20%,3673.76,0,3673.76,69454,0,69454,0,69454,144.9174402,19043,2120,0.111326997,0,21163,17.5,1993.78,209.9291429,"138,888,272.00","33,997,148.00",0.24,"138,888,272.00","33,997,148.00",0.24,8245542,"5,288,636.00",2381258,0.64,0,"753,095.00","9,254.05","1,439.57",1,1,"14,932,355.00","9,196,804.00",0.62,0,2178827,"3,943,800.00",Water only,N / R,FY09,2,1,11.09,11.7,215.24,4.6,0.380828623,888.2173831,128,2073.108052,1683.007876
19,Berkeley,2220,2,Berkeley Water & Sanitation,C,U,South,Berkeley County,South Carolina,SC,29461,USA,45015,Berkeley,122.1,52192,0,0,100,4,,U,1,0,8.5,22.96,31.46,8.5,43.44,51.94,0.2,44,0,44,44,0,44,52.5,22.96,75.46,52.5,43.44,95.94,0,0,0,0.00%,0.00%,1715.581259,0,1715.581259,50245,0,50245,1,50245,93.54607677,17513,758,0.043282133,2,18273,51.29999924,4357,33.4421303,"115,155,876.95","56,292,833.79",0.49,"393,236,182.93","201,870,434.91",0.51,8314226.4,"5,280,130.67",2582261,0.64,"90,975.00","1,261,355.56","32,812.69","3,077.75",0,0,"33,591,364.86","16,006,680.00",0.48,"7,917,295.00",6446673.98,"3,671,973.20",Water only,FY09,FY09,2,1,16.95,8.56,"1,161.20",2.1,0.01130524,18.70009425,130,1517.381481,787.8887881
20,Bernalillo,1326,2,Albuquerque Bernalillo County Water Utility Authority,B,U,West,Albuquerque,New Mexico,NM,87120,USA,35001,Albuquerque,517.8,50052,75,25,0,3,1,U,1,1,11.41,14.1,25.51,11.41,21.15,32.56,0.54,7.49,7.81,15.3,7.49,11.71,19.2,18.9,21.91,40.81,18.9,32.86,51.76,294,87.51,150,29.77%,51.02%,2716.4,0,2716.4,595000,0,595000,0,0,12.50788535,171983,19830,0.115302094,0,191813,210,21170,12.9352381,"1,434,211,198.00","617,193,912.00",0.43,"1,434,211,198.00","617,193,912.00",0.43,152232345,"140,185,811.00",393410,0.92,0,"19,679,654.00","227,210.25","51,607.20",1,0,"152,232,345.00","280,371,622.00",1.84,0,39359308,#DIV/0!,Combined water and wastewater,FY08,FY08,2,0,11.33,11.65,278.73,3.18,7.406956469,13.24936598,133,1426.905263,1452.422101
21,Bexar,1526,2,San Antonio Water System,A,U,South,San Antonio,Texas,TX,78298,USA,48029,San Antonio,1216.6,47361,94.83,0,5.17,2,1,IB,2,1,6.96,19.6,26.56,6.96,30.9,37.86,0.23,7.81,12.31,20.12,7.81,20,27.81,14.77,31.91,46.68,14.77,50.9,65.67,826,181.4,243,21.96%,29.42%,55176,119,55295,1340549,0,1340549,0,1340549,113.0082904,327610,23242,0.07094411,7,350859,645,51987,85.72868217,"2,131,876,349.00","1,064,883,922.00",0.5,"3,777,231,489.00","1,846,000,356.00",0.49,221512601,"133,747,390.00",47019268,0.6,"39,001,302.00","-2,350,804.00","19,258.23","2,418.80",1,1,"356,339,136.00","209,894,831.00",0.59,"66,285,409.00",-6463547,"151,720,000.00",Water only,CY09,CY09,2,1,20.28,8.53,769.17,2.09,17.83594691,11.51035236,136,6421.4,531.8959485
22,Black Hawk,1075,1,Waterloo Water Works,C,U,Midwest,Waterloo,Iowa,IA,50704,USA,19013,Waterloo,224.5,44586,100,0,0,2,2,DB,3,0,5.25,7.91,13.16,5.25,13.56,18.81,0.39,0,0,0,0,0,0,5.25,7.91,13.16,5.25,13.56,18.81,50,12.8,17.58,25.60%,35.16%,3720.18,104.03,3824.21,70384,3169,73553,1,73553,142.4454158,24086,1732,0.071908993,2,25820,36,0,106.2280556,"25,505,042.00","2,105,824.00",0.08,"25,505,042.00","2,105,824.00",0.08,5719686,"4,587,738.00",493497,0.8,"108,696.00","1,190,531.00",550.66,"1,199.66",1,1,"5,719,686.00","4,587,738.00",0.8,"108,696.00",1190531,"2,564,106.60",Water only,CY09,N / R,1,1,8.24,14.4,863.79,4.3,1.298787081,12.72201405,143,1816.675824,1119.17127
23,Blount,2299,2,"Maryville Utilities, City of",C,U,South,Maryville,Tennessee,TN,37801,USA,47009,Maryville,199.2,52499,0,99.94,0.06,1,2,DB,3,0,5.67,16.11,21.78,5.67,25.45,31.12,0.22,5.07,28.2,33.27,5.07,42.3,47.37,10.74,44.31,55.05,10.74,67.75,78.49,6,3.974,5.653,66.23%,94.22%,1084.5975,0,1084.5975,30374,0,30374,1,0,97.83038125,12903,1557,0.120669612,0,14460,31,0,34.98701613,"103,294,420.00","51,240,000.00",0.5,"103,294,420.00","51,240,000.00",0.5,11372336,"7,736,229.00",1627625,0.68,"2,378,155.00","105,235.00","47,243.33","7,132.81",0,0,"11,372,336.00","15,472,458.00",1.36,"4,756,310.00",210470,"1,651,657.40",Combined water and wastewater,FY09,FY09,2,0,13.65,10.32,"1,379.05",1.47,0.007535285,126.845868,150,1436.238095,817.4877471
24,Boulder,1610,2,"Boulder, City of",C,U,West,Boulder,Colorado,CO,80302,USA,8013,Boulder,396.1,58522,0,0,100,4,,IB,2,0,8.55,18.44,26.99,8.55,39.62,48.17,0.22,0.96,28.42,29.38,0.96,42.64,43.6,9.51,46.86,56.37,9.51,82.26,91.77,53,15.41,30.5,29.08%,57.55%,4987,0,4987,115881,0,115881,1,115881,117.9055557,25042,3416,0.13641083,0,28458,75.12999725,4915,66.37828008,"236,489,000.00","45,360,000.00",0.19,"342,655,000.00","86,597,000.00",0.25,20173000,"11,197,000.00",4989000,0.56,"2,114,000.00","862,000.00","9,095.65","2,245.24",0,1,"32,894,000.00","18,943,000.00",0.58,"3,782,000.00",1302000,"4,820,091.60",Water only,CY09,CY09,2,1,5.09,11.9,556.73,2.11,0.064140355,1.675958612,164,999.4566745,852.4835878
25,Boulder,1616,2,"Longmont, City of",C,U,West,Longmont,Colorado,CO,80501,USA,8013,Longmont,396.1,66926,0,100,0,1,2,IB,2,0,3.66,4.03,7.69,3.66,6.94,10.6,0.53,7.29,17.22,24.51,7.29,27.06,34.35,10.95,21.25,32.2,10.95,34,44.95,47,13.66,29.49,29.06%,62.74%,4245.8,0,4245.8,86303,0,86303,1,86303,134.7847557,23553,2988,0.12686282,0,26541,52.34999847,967.25,81.10410934,"332,354,156.00","15,398,953.00",0.05,"427,672,924.00","16,017,826.00",0.04,12023350,"9,398,073.00",3847442,0.78,0,"-2,818,585.00","3,626.87","2,213.50",1,0,"19,439,389.00","15,467,067.00",0.8,"268,225.00",-4121233,"6,945,578.80",Water only,CY09,CY09,2,1,5.09,11.9,556.73,2.11,0.064140355,1.675958612,164,999.4566745,852.4835878
26,Boulder,4359,2,Lafayette Water Department,C,U,West,Lafayette,Colorado,CO,80026,USA,8013,Lafayette,396.1,73729,0,100,0,1,2,IB,2,0,9.15,14.43,23.58,9.15,24.95,34.1,0.37,8.31,6.41,14.72,8.31,11.41,19.72,17.46,20.84,38.3,17.46,36.36,53.82,13,3.7,8.2,28.46%,63.08%,1159.86,29.363,1189.223,32000,800,32800,1,32800,99.33369529,7671,532,0.069352105,2,8205,21.10000038,741,56.3612786,"98,136,454.00","17,402,741.00",0.18,"126,487,753.00","23,273,971.00",0.18,4828996,"2,813,144.00",1646109,0.58,"890,948.00","1,073,177.00","14,633.71","2,365.53",0,1,"6,482,405.00","4,429,035.00",0.68,"1,112,575.00",251207,"3,344,600.00",Water only,FY09,FY09,2,1,5.09,11.9,556.73,2.11,0.064140355,1.675958612,164,999.4566745,852.4835878
27,Branch,7355,2,Coldwater Board of Public Utilities,C,U,Midwest,Coldwater,Michigan,MI,7355,USA,26023,Coldwater,91.7,44352,100,0,0,2,2,DB,3,0,12.35,15.26,27.61,12.35,23.98,36.33,0.52,14.59,11.34,25.93,14.59,17.82,32.41,26.94,26.6,53.54,26.94,41.8,68.74,6.6,1.919,3.59,29.08%,54.39%,492.58,0,492.58,12700,0,12700,0,12700,106.2625391,3875,719,0.185548387,0,4594,7,917.1,70.36857143,"12,355,678.00","5,810,000.00",0.47,"27,896,206.00","11,925,000.00",0.43,2116761,"1,200,967.00",399671,0.57,"248,700.00","341,098.00","11,795.04","2,438.12",0,0,"4,571,795.00","2,635,390.00",0.58,"526,010.00",533557,"371,000.00",Water only,FY09,FY09,2,1,9.03,12.86,910.12,1.77,0.280595301,1.783249152,175,928.5,458.912301
28,Brevard,1640,2,City of Cocoa,B,U,South,Cocoa,Florida,FL,32922,USA,12009,Cocoa,501.9,35392,80,20,0,2,,IB,2,0,10.47,14.7,25.17,10.47,26.01,36.48,0.4,9.77,32.41,42.18,9.77,50.93,60.7,20.24,47.11,67.35,20.24,76.94,97.18,48,25.35,34.45,52.81%,71.77%,8360.514,0,8360.514,245000,0,245000,1,0,93.49190942,76410,0,0,0,76410,143.5,643.66,58.2614216,"208,056,605.00","78,185,401.00",0.38,"208,056,605.00","78,185,401.00",0.38,41132721,"32,022,078.00",7550957,0.78,"3,220,301.00","5,897,698.00","9,351.75","3,830.16",1,1,"41,132,721.00","64,044,156.00",1.56,"6,440,602.00",11795396,"13,912,815.40",Combined water and wastewater,FY09,FY09,2,0,15.34,3.66,"1,211.34",3.18,0.08029567,5.438614991,182,1403.222222,2505.831238
